,时间,和义街道,和义街道_root,相对偏差
376,2018-12-02 08:00:00,175.5517012000008,147.2,0.19260666576087504
377,2018-12-02 07:00:00,184.39274931790726,163.3,0.1291656418732838
378,2018-12-02 06:00:00,199.31027355911053,174.5,0.14217921810378525
379,2018-12-02 05:00:00,199.2601692945445,160.8,0.2391801573043812
380,2018-12-02 04:00:00,206.05165618290368,174.7,0.17945996670236805
381,2018-12-02 03:00:00,224.7780635591793,168.9,0.33083518981160026
382,2018-12-02 02:00:00,212.17959740010028,169.7,0.2503217289340029
383,2018-12-02 01:00:00,222.38579088980035,167.4,0.3284694796284369
384,2018-12-02 00:00:00,219.9994213555783,171.4,0.28354388188785473
385,2018-12-01 23:00:00,212.9379187489047,170.4,0.24963567340906515
386,2018-12-01 22:00:00,212.54301498425977,170.4,0.24731816305316762
387,2018-12-01 21:00:00,211.13097187371886,160.2,0.31792117274481196
388,2018-12-01 20:00:00,195.2055674849964,149.2,0.3083483075401905
389,2018-12-01 19:00:00,212.154876732098,150.1,0.41342356250564954
390,2018-12-01 18:00:00,214.1608870093594,157.3,0.36148052771366435
391,2018-12-01 17:00:00,235.4923729150356,179.5,0.3119352251534016
392,2018-12-01 16:00:00,227.53182302148124,178.5,0.27468808415395657
393,2018-12-01 15:00:00,206.37023111662253,151.0,0.3666902722955135
394,2018-12-01 14:00:00,206.69849794320317,148.3,0.39378623023063486
395,2018-12-01 13:00:00,199.20578877874763,149.0,0.3369516025419304
396,2018-12-01 12:00:00,189.1656694423306,137.7,0.3737521382885302
397,2018-12-01 11:00:00,136.18756494330412,101.8,0.33779533343127827
398,2018-12-01 10:00:00,119.54583058021596,92.1,0.2980003320327467
399,2018-12-01 09:00:00,114.81316823123503,101.5,0.13116421902694606
400,2018-12-01 08:00:00,108.23896382559212,81.5,0.3280854457127868
401,2018-12-01 07:00:00,108.91943085893064,86.6,0.25773014848649706
402,2018-12-01 06:00:00,123.08308166667133,96.4,0.27679545297376895
403,2018-12-01 05:00:00,136.22604075818418,102.7,0.32644635597063465
404,2018-12-01 04:00:00,158.24385429250415,129.4,0.22290459267777546
405,2018-12-01 03:00:00,171.37097617565183,138.5,0.2373355680552479
406,2018-12-01 02:00:00,176.43766462511908,137.9,0.2794609472452435
407,2018-12-01 01:00:00,179.67442009382796,153.0,0.1743426149923396
408,2018-12-01 00:00:00,175.6366004405962,149.5,0.17482675879997456
409,2018-11-30 23:00:00,164.89530213139747,152.1,0.08412427436816225
410,2018-11-30 22:00:00,164.0071022120344,148.2,0.1066606087181809
411,2018-11-30 21:00:00,157.68362238072632,148.6,0.06112801063745845
412,2018-11-30 20:00:00,155.80930231395692,136.8,0.13895688825991892
413,2018-11-30 19:00:00,153.94701988350621,127.2,0.21027531354957713
414,2018-11-30 18:00:00,144.77236707595998,118.2,0.2248085201011842
415,2018-11-30 17:00:00,137.79188732624968,109.3,0.2606760048147272
416,2018-11-30 16:00:00,131.92241821536834,113.3,0.1643637971347603
417,2018-11-30 15:00:00,128.933964010102,97.8,0.3183431902873414
418,2018-11-30 14:00:00,123.63223621746214,100.1,0.2350872748997217
419,2018-11-30 13:00:00,107.75913373769207,80.1,0.3453075372995265
420,2018-11-30 12:00:00,86.67885697354923,63.0,0.3758548725960195
421,2018-11-30 11:00:00,79.4357448850494,59.1,0.3440904379872995
422,2018-11-30 10:00:00,81.58648139419587,62.8,0.2991477929012082
423,2018-11-30 09:00:00,73.73955925190731,49.9,0.4777466783949361
424,2018-11-30 08:00:00,83.09605168577738,68.0,0.2220007600849615
425,2018-11-30 07:00:00,76.14894186196193,61.4,0.24021077951078065
426,2018-11-30 06:00:00,76.4024161289205,61.9,0.2342878211457271
427,2018-11-30 05:00:00,75.93089883999157,60.6,0.25298512937279816
428,2018-11-30 04:00:00,77.72918171530112,62.7,0.23969986786764147
429,2018-11-30 03:00:00,77.59539822497153,60.3,0.28682252446055617
430,2018-11-30 02:00:00,76.62664808366138,63.1,0.2143684323876605
431,2018-11-30 01:00:00,75.7534947065634,63.2,0.1986312453570158
432,2018-11-30 00:00:00,67.3971373415354,52.1,0.29361108141142794
433,2018-11-29 23:00:00,62.020132119071015,46.3,0.33952769155660945
434,2018-11-29 22:00:00,57.596157181586314,61.0,0.05580070194120797
435,2018-11-29 21:00:00,49.84273320622267,60.4,0.17478918532743926
436,2018-11-29 20:00:00,47.61849114767699,56.1,0.15118554103962584
437,2018-11-29 19:00:00,48.726475337852996,55.0,0.11406408476630917
438,2018-11-29 18:00:00,52.31881435410467,57.3,0.08693168666483997
439,2018-11-29 17:00:00,49.20543996890509,56.2,0.12445836354261411
440,2018-11-29 16:00:00,45.41870881438016,50.4,0.09883514257182219
441,2018-11-29 15:00:00,45.99901012874551,47.5,0.03159978676325241
442,2018-11-29 14:00:00,45.799466368570585,47.2,0.02967232269977581
443,2018-11-29 13:00:00,48.140947383845,49.3,0.023510195053853846
444,2018-11-29 12:00:00,46.76009349368576,47.4,0.013500137264013506
445,2018-11-29 11:00:00,48.690975144678475,50.4,0.03390922331987149
446,2018-11-29 10:00:00,43.29059781418099,48.4,0.10556616086402909
447,2018-11-29 09:00:00,38.09320539235091,44.8,0.14970523677788142
448,2018-11-29 08:00:00,32.89619096521802,45.1,0.27059443536101957
449,2018-11-29 07:00:00,31.964892112577274,42.5,0.24788489146877002
450,2018-11-29 06:00:00,34.49268293667226,42.4,0.18649332696527685
451,2018-11-29 05:00:00,47.91541618001495,54.4,0.11920190845560749
452,2018-11-29 04:00:00,57.65058374267439,63.9,0.09779994142919572
453,2018-11-29 03:00:00,63.7883124267262,50.9,0.25320849561348135
454,2018-11-29 02:00:00,63.842927354217515,63.8,0.0006728425425943283
455,2018-11-29 01:00:00,63.68613047527361,60.2,0.057909144107534956
456,2018-11-29 00:00:00,61.5681032641759,60.0,0.02613505440293172
457,2018-11-28 23:00:00,58.503703948829305,57.8,0.012174808803275218
458,2018-11-28 22:00:00,55.62546226671807,58.4,0.047509207761676914
459,2018-11-28 21:00:00,51.52818701742307,52.6,0.0203766726725652
460,2018-11-28 20:00:00,49.63212106105565,50.2,0.011312329461042901
461,2018-11-28 19:00:00,45.69472144406148,46.2,0.010936765280054637
462,2018-11-28 18:00:00,41.93278385043093,43.2,0.029333707165950764
463,2018-11-28 17:00:00,39.861835797657875,40.9,0.02538298783232576
464,2018-11-28 16:00:00,38.791519387571526,39.1,0.007889529729628525
465,2018-11-28 15:00:00,40.67818193913802,39.7,0.024639343555113807
466,2018-11-28 14:00:00,44.927272250071375,41.4,0.08519981280365645
467,2018-11-28 13:00:00,48.51919873977474,46.6,0.04118452231276256
468,2018-11-28 12:00:00,61.69215190181177,52.6,0.17285459889375984
469,2018-11-28 11:00:00,69.18351734064466,59.2,0.1686404956189975
470,2018-11-28 10:00:00,74.39223689114405,60.0,0.23987061485240085
471,2018-11-28 09:00:00,73.04473898432273,54.5,0.3402704400793162
472,2018-11-28 08:00:00,60.69429408059779,59.9,0.013260335235355494
473,2018-11-28 07:00:00,54.182527689689515,55.4,0.0219760344821387
474,2018-11-28 06:00:00,48.45554700023643,53.4,0.09259275280456124
475,2018-11-28 05:00:00,47.04192898739067,51.3,0.0830033335791292
476,2018-11-28 04:00:00,43.748165832498195,49.0,0.1071802891326899
477,2018-11-28 03:00:00,39.1405407015661,46.1,0.1509644099443362
478,2018-11-28 02:00:00,39.91534866541983,44.2,0.09693781299955147
479,2018-11-28 01:00:00,37.454400371752094,45.3,0.1731920447736844
480,2018-11-28 00:00:00,35.87656974607213,39.6,0.09402601651333012
481,2018-11-27 23:00:00,37.28552864285292,45.2,0.17509892383068773
482,2018-11-27 22:00:00,29.416471668874262,34.4,0.14487000962574814
503,2018-11-27 01:00:00,207.5841413176794,93.5,1.220151244039352
504,2018-11-27 00:00:00,399.19958039454536,295.6,0.3504721934862833
505,2018-11-26 23:00:00,429.62389634792925,330.6,0.2995278171443715
506,2018-11-26 22:00:00,433.831351979918,330.7,0.31185773202273365
507,2018-11-26 21:00:00,432.8710884234172,322.8,0.34098850193127994
508,2018-11-26 20:00:00,390.7224662715334,291.5,0.3403858191133221
509,2018-11-26 19:00:00,349.8895819552603,257.2,0.36037940107021904
510,2018-11-26 18:00:00,338.3411447765995,245.8,0.37648960446134855
511,2018-11-26 17:00:00,324.800419398689,219.0,0.48310693789355696
512,2018-11-26 16:00:00,316.02903698763083,233.9,0.3511288456076564
513,2018-11-26 15:00:00,330.79260858542915,248.1,0.3333035412552566
514,2018-11-26 14:00:00,379.40918624564273,260.7,0.45534785671516204
515,2018-11-26 13:00:00,383.9004968532599,270.2,0.4208012466811987
516,2018-11-26 12:00:00,358.29103382670274,259.2,0.3822956551956125
517,2018-11-26 11:00:00,332.66971551242756,251.9,0.32064198297906926
518,2018-11-26 10:00:00,326.8819374730218,257.5,0.26944441737095853
519,2018-11-26 09:00:00,286.57872534256177,243.9,0.17498452374974072
520,2018-11-26 08:00:00,260.4195493489265,231.1,0.12686953417969074
521,2018-11-26 07:00:00,239.85675336607542,215.0,0.11561280635383918
522,2018-11-26 06:00:00,211.42321766012083,185.4,0.14036255480108317
523,2018-11-26 05:00:00,199.44825155015056,177.8,0.12175619544516618
524,2018-11-26 04:00:00,223.43505931503094,195.4,0.14347522679135585
525,2018-11-26 03:00:00,223.81948433673338,186.0,0.20333056095017948
526,2018-11-26 02:00:00,189.0918177978177,157.0,0.20440648278864776
527,2018-11-26 01:00:00,176.72077203944886,148.0,0.19405927053681662
528,2018-11-26 00:00:00,162.92847674673627,127.5,0.27787040585675504
529,2018-11-25 23:00:00,146.46126178642825,119.2,0.22870186062439807
530,2018-11-25 22:00:00,146.81140659387273,123.1,0.19261906250099706
531,2018-11-25 21:00:00,138.05088638251104,119.5,0.15523754294988318
532,2018-11-25 20:00:00,114.10795668013247,103.9,0.09824789875007188
533,2018-11-25 19:00:00,86.92029439274519,68.5,0.26890940719336043
534,2018-11-25 18:00:00,67.25918630534203,55.7,0.20752578645138284
535,2018-11-25 17:00:00,56.52863025974086,52.5,0.07673581447125444
