,时间,赵辛店村,赵辛店村_root,相对偏差
129,2018-12-12 15:00:00,27.29160127187074,30.5,0.10519340092227085
130,2018-12-12 14:00:00,32.303264046361335,34.0,0.04990399863643133
135,2018-12-12 09:00:00,30.01441858241515,33.0,0.09047216416923788
163,2018-12-11 05:00:00,46.3716742647107,38.4,0.20759568397684114
164,2018-12-11 04:00:00,68.67503079071686,59.4,0.1561452995070179
165,2018-12-11 03:00:00,67.88839895453135,60.1,0.12959066480085446
166,2018-12-11 02:00:00,69.89197864233456,60.3,0.1590709559259464
167,2018-12-11 01:00:00,68.20193589047408,59.2,0.1520597278796296
168,2018-12-11 00:00:00,69.38467111624101,58.8,0.18001141354151382
169,2018-12-10 23:00:00,69.5396042436791,60.9,0.1418654227205106
170,2018-12-10 22:00:00,73.21197065766786,63.2,0.15841725724158004
171,2018-12-10 21:00:00,75.89226658001606,64.5,0.17662428806226443
172,2018-12-10 20:00:00,77.07268853449963,69.4,0.11055747167866897
174,2018-12-10 18:00:00,61.275693582025525,57.2,0.07125338430114549
175,2018-12-10 17:00:00,57.86354347282627,54.1,0.06956642278791628
176,2018-12-10 16:00:00,57.54343384365982,53.2,0.08164349330187626
177,2018-12-10 15:00:00,51.995612785125324,52.9,0.017096166632791576
178,2018-12-10 14:00:00,56.17231556043236,53.1,0.05785905010230429
179,2018-12-10 13:00:00,59.25344559678434,53.5,0.10754103919223063
180,2018-12-10 12:00:00,56.477938494453774,51.7,0.09241660530858357
181,2018-12-10 11:00:00,51.86987663208891,49.3,0.05212731505251346
182,2018-12-10 10:00:00,50.13225498338249,50.6,0.009243972660425167
183,2018-12-10 09:00:00,50.25767171388228,51.9,0.031644090291285495
184,2018-12-10 08:00:00,47.9861233832126,53.9,0.10971941775115766
185,2018-12-10 07:00:00,48.08748096162796,50.2,0.042082052557211994
186,2018-12-10 06:00:00,45.454094852174194,47.2,0.03698951584376714
187,2018-12-10 05:00:00,47.44220722117483,47.6,0.003314974345066565
188,2018-12-10 04:00:00,52.686414258621866,49.1,0.07304306025706446
189,2018-12-10 03:00:00,57.50055930855284,54.0,0.0648251723806081
190,2018-12-10 02:00:00,62.98358863028969,63.9,0.014341335989206736
191,2018-12-10 01:00:00,74.84482441253972,71.1,0.052669822961177615
192,2018-12-10 00:00:00,90.00099264441265,88.6,0.015812558063348234
193,2018-12-09 23:00:00,106.63353803385398,95.4,0.11775197100475863
194,2018-12-09 22:00:00,111.48508482758018,93.1,0.19747674358303102
195,2018-12-09 21:00:00,108.03258513198587,88.0,0.22764301286347577
196,2018-12-09 20:00:00,107.10366551444945,100.5,0.06570811457163628
197,2018-12-09 19:00:00,101.99492271121744,109.4,0.06768809221921905
198,2018-12-09 18:00:00,86.89617438431647,128.8,0.32534026099133184
199,2018-12-09 17:00:00,64.14670238766328,80.4,0.20215544293951146
200,2018-12-09 16:00:00,54.600087031613306,52.0,0.05000167368487127
201,2018-12-09 15:00:00,65.1985355250834,63.6,0.025134206369235832
202,2018-12-09 14:00:00,53.27182217680709,52.4,0.016637827801662085
203,2018-12-09 13:00:00,48.85365189276818,59.4,0.17754794793319564
204,2018-12-09 12:00:00,42.230744673295554,42.9,0.015600357265837868
205,2018-12-09 11:00:00,35.827743840429456,33.1,0.0824091794691678
206,2018-12-09 10:00:00,15.495541619644513,32.4,0.5217425426035645
207,2018-12-09 09:00:00,19.244848051502295,53.0,0.636889659405617
208,2018-12-09 08:00:00,19.86105261466354,52.9,0.624554770989347
209,2018-12-09 07:00:00,18.796029951994228,46.5,0.595784302107651
210,2018-12-09 06:00:00,17.924060488099776,45.2,0.6034499892013324
211,2018-12-09 05:00:00,21.58356110988232,42.8,0.49571118902144107
212,2018-12-09 04:00:00,20.442878054722318,42.2,0.5155716100776703
213,2018-12-09 03:00:00,25.898113765003433,44.7,0.4206238531319143
214,2018-12-09 02:00:00,26.31988997413065,53.9,0.5116903529845891
215,2018-12-09 01:00:00,23.067752232355605,52.8,0.5631107531750832
217,2018-12-08 23:00:00,43.436841847238036,46.2,0.059808618025150806
218,2018-12-08 22:00:00,18.675324775323645,42.9,0.56467774416495
219,2018-12-08 21:00:00,14.25883243443378,37.7,0.6217816330388919
221,2018-12-08 19:00:00,12.695955387222229,30.5,0.5837391676320581
222,2018-12-08 18:00:00,12.920607363316245,39.7,0.6745438951305732
286,2018-12-06 02:00:00,32.409263830036394,41.8,0.22465876004697616
287,2018-12-06 01:00:00,50.922265659157915,44.3,0.14948680946180404
288,2018-12-06 00:00:00,52.43880021249314,43.9,0.19450569960121056
289,2018-12-05 23:00:00,52.131789101851126,45.9,0.13576882574839058
290,2018-12-05 22:00:00,54.338775952492234,45.4,0.19688933816062193
291,2018-12-05 21:00:00,65.34347141505425,54.0,0.21006428546396766
292,2018-12-05 20:00:00,63.387394943498684,52.8,0.2005188436268691
293,2018-12-05 19:00:00,67.65059515679751,53.8,0.257446006631924
294,2018-12-05 18:00:00,60.36437480481956,53.9,0.1199327422044446
295,2018-12-05 17:00:00,61.46654835652845,52.7,0.16634816615803502
296,2018-12-05 16:00:00,56.344756819001894,47.7,0.18123179914050086
297,2018-12-05 15:00:00,54.20833876333466,46.1,0.17588587339120731
298,2018-12-05 14:00:00,47.407792351396644,39.0,0.21558441926658062
299,2018-12-05 13:00:00,43.34776104358205,34.9,0.24205619036051715
300,2018-12-05 12:00:00,38.949032907706815,32.5,0.1984317817755943
308,2018-12-05 04:00:00,29.079281806079816,42.0,0.3076361474742901
309,2018-12-05 03:00:00,29.03537101285363,32.9,0.11746592666098384
314,2018-12-04 22:00:00,32.821341753244255,30.3,0.08321259911697208
315,2018-12-04 21:00:00,23.845710759341248,33.1,0.2795857776634064
348,2018-12-03 12:00:00,37.90971227697812,41.4,0.08430646673965891
357,2018-12-03 03:00:00,113.07973406435558,34.1,2.3161212335588144
358,2018-12-03 02:00:00,167.80338268482097,78.0,1.1513254190361664
