,时间,丰台街道,丰台街道_root,相对偏差
208,2018-12-09 08:00:00,9.4386525383928,48.5,0.8053886074558185
209,2018-12-09 07:00:00,11.024801015914054,48.8,0.7740819463952039
210,2018-12-09 06:00:00,11.959944595131832,50.0,0.7608011080973633
211,2018-12-09 05:00:00,13.188522958486752,58.0,0.7726116731295388
212,2018-12-09 04:00:00,15.932593255581592,74.5,0.7861396878445424
213,2018-12-09 03:00:00,17.41858353922963,68.9,0.747190369532226
214,2018-12-09 02:00:00,16.248530466828658,66.9,0.7571221155929947
215,2018-12-09 01:00:00,16.32374596349463,64.8,0.7480903400695273
217,2018-12-08 23:00:00,46.96994580365567,52.1,0.09846553159969927
218,2018-12-08 22:00:00,11.76926883498305,45.3,0.7401927409496015
219,2018-12-08 21:00:00,10.416884643501357,40.3,0.741516510086815
220,2018-12-08 20:00:00,9.97691897920913,37.6,0.7346564101274168
221,2018-12-08 19:00:00,9.046560174847382,34.6,0.7385387232703069
286,2018-12-06 02:00:00,40.906092839249034,33.8,0.21023943311387686
287,2018-12-06 01:00:00,55.35444004114853,48.9,0.13199263887829304
288,2018-12-06 00:00:00,63.20730265375882,51.8,0.2202181979490121
289,2018-12-05 23:00:00,64.21551471019991,52.5,0.223152661146665
290,2018-12-05 22:00:00,63.23283209619833,53.9,0.17315087376991337
291,2018-12-05 21:00:00,72.59726759255128,67.7,0.07233777832424332
292,2018-12-05 20:00:00,74.08085153984376,60.6,0.22245629603702577
293,2018-12-05 19:00:00,76.75237656791003,59.2,0.29649284743091264
294,2018-12-05 18:00:00,71.58775607882446,55.8,0.2829346967531265
295,2018-12-05 17:00:00,67.8551636901556,52.0,0.304906994041454
296,2018-12-05 16:00:00,63.559447228720245,50.6,0.2561155578798467
297,2018-12-05 15:00:00,58.26716986536598,47.2,0.23447393782555032
298,2018-12-05 14:00:00,59.15662266974631,45.0,0.3145916148832514
299,2018-12-05 13:00:00,60.330737287595966,48.7,0.23882417428328465
300,2018-12-05 12:00:00,46.494225438257175,38.5,0.20764221917551104
301,2018-12-05 11:00:00,44.93202880908568,36.8,0.22097904372515442
302,2018-12-05 10:00:00,51.937300810846914,42.2,0.2307417253755192
304,2018-12-05 08:00:00,37.92279159231232,37.0,0.024940313305738433
305,2018-12-05 07:00:00,41.95116266352301,33.3,0.2597946745802706
306,2018-12-05 06:00:00,39.20566670439197,30.1,0.30251384399973325
307,2018-12-05 05:00:00,34.893209334284556,30.4,0.14780293862778152
309,2018-12-05 03:00:00,37.10167521081445,35.9,0.033472847097895546
357,2018-12-03 03:00:00,84.94043923218025,42.5,0.9985985701689472
358,2018-12-03 02:00:00,149.9332351295568,85.3,0.7577167072632686
359,2018-12-03 01:00:00,194.81096207058832,134.3,0.4505656148219531
360,2018-12-03 00:00:00,208.40271448533434,151.1,0.3792370250518488
361,2018-12-02 23:00:00,214.1337992378031,163.8,0.3072881516349394
363,2018-12-02 21:00:00,226.9760232424178,171.1,0.32656939358514203
364,2018-12-02 20:00:00,216.4777703444889,164.7,0.31437626195803836
365,2018-12-02 19:00:00,210.5222202734459,159.3,0.32154563887913296
366,2018-12-02 18:00:00,211.2454352452807,167.2,0.26342963663445407
367,2018-12-02 17:00:00,210.66841349613486,170.0,0.23922596174196978
368,2018-12-02 16:00:00,204.60418510055237,182.4,0.12173347094601077
369,2018-12-02 15:00:00,205.45226905940777,182.0,0.12885862120553718
370,2018-12-02 14:00:00,201.64451962044188,187.3,0.07658579615825879
371,2018-12-02 13:00:00,203.7273687052756,187.9,0.08423293616431933
372,2018-12-02 12:00:00,193.02372970997794,187.7,0.02836297128384632
373,2018-12-02 11:00:00,190.57436624695225,187.5,0.016396619983745343
374,2018-12-02 10:00:00,189.88097544348864,189.7,0.0009540086636196552
375,2018-12-02 09:00:00,195.08122911851422,196.1,0.0051951600279743935
376,2018-12-02 08:00:00,190.9962559420228,187.2,0.02027914498943809
377,2018-12-02 07:00:00,187.97525245171417,185.3,0.014437412043789304
378,2018-12-02 06:00:00,190.37792633722168,188.3,0.011035190319817678
