,时间,大红门街道,大红门街道_root,相对偏差
136,2018-12-12 08:00:00,31.02800066905865,32.3,0.03938078423967022
137,2018-12-12 07:00:00,30.46073706388208,34.0,0.10409596870935064
138,2018-12-12 06:00:00,30.691452081534006,38.8,0.2089831937748967
139,2018-12-12 05:00:00,32.78230063318731,36.6,0.10430872586919918
140,2018-12-12 04:00:00,35.38982001009712,35.3,0.002544476206717307
141,2018-12-12 03:00:00,33.75088143938223,32.6,0.03530311163749178
163,2018-12-11 05:00:00,41.88128993924737,53.4,0.21570618091297064
164,2018-12-11 04:00:00,63.62657384936642,70.0,0.0910489450090511
165,2018-12-11 03:00:00,68.93701474774898,74.4,0.07342722113240632
166,2018-12-11 02:00:00,69.68827292585809,76.4,0.0878498308133759
167,2018-12-11 01:00:00,73.63090291624309,77.0,0.0437545075812586
168,2018-12-11 00:00:00,80.1214147535949,85.3,0.06071026080193543
169,2018-12-10 23:00:00,65.09605791805662,74.2,0.12269463722295669
170,2018-12-10 22:00:00,66.33472104798028,77.4,0.14296226036201193
171,2018-12-10 21:00:00,64.87016390897604,74.9,0.13390969413917178
172,2018-12-10 20:00:00,62.91646698792637,71.7,0.12250394716978567
174,2018-12-10 18:00:00,60.197083666347986,69.0,0.12757849758915962
175,2018-12-10 17:00:00,58.08984369985362,67.0,0.1329874074648714
176,2018-12-10 16:00:00,56.773413429584295,66.1,0.14109813268404992
177,2018-12-10 15:00:00,57.44097315823943,64.8,0.11356522903951492
178,2018-12-10 14:00:00,60.62333054705811,66.3,0.08562095705794702
179,2018-12-10 13:00:00,60.49498429944389,64.7,0.06499251469174823
180,2018-12-10 12:00:00,57.487535615180605,66.7,0.13811790681888153
181,2018-12-10 11:00:00,54.71274399060303,64.0,0.14511337514682765
182,2018-12-10 10:00:00,44.87274838940918,62.8,0.2854657899775608
183,2018-12-10 09:00:00,47.00215330607253,62.3,0.2455513112989963
184,2018-12-10 08:00:00,44.71387610072958,58.2,0.23172034191186294
185,2018-12-10 07:00:00,48.59032474916698,60.5,0.19685413637740526
186,2018-12-10 06:00:00,47.48100228389576,58.6,0.18974398832942388
187,2018-12-10 05:00:00,54.53135336222384,64.4,0.1532398546238535
188,2018-12-10 04:00:00,65.42318585865976,75.4,0.13231848993819947
189,2018-12-10 03:00:00,62.7476382959657,78.9,0.20471941323237394
190,2018-12-10 02:00:00,63.775542018228705,77.1,0.1728204666896406
191,2018-12-10 01:00:00,75.82173506833247,85.9,0.11732555217307954
192,2018-12-10 00:00:00,83.33131683418817,92.3,0.09716883169893635
193,2018-12-09 23:00:00,88.44081868766776,97.6,0.0938440708230762
