,时间,东高地街道,东高地街道_root,相对偏差
169,2018-12-10 23:00:00,63.687849855987906,46.6,0.3666920569954486
170,2018-12-10 22:00:00,67.52476670622269,46.8,0.4428368954321089
171,2018-12-10 21:00:00,66.40633442693927,47.1,0.4099009432471182
172,2018-12-10 20:00:00,60.504684834599416,45.5,0.32977329306811903
174,2018-12-10 18:00:00,57.089861496035404,42.6,0.34013759380364794
175,2018-12-10 17:00:00,55.40551762131575,42.8,0.29452143975036815
176,2018-12-10 16:00:00,54.5511664997793,42.4,0.2865841155608326
177,2018-12-10 15:00:00,54.26044453586159,42.7,0.27073640599207455
178,2018-12-10 14:00:00,57.281305890441224,42.5,0.3477954327162641
179,2018-12-10 13:00:00,56.34803238259532,42.7,0.3196260511146444
180,2018-12-10 12:00:00,54.830760182056075,42.7,0.2840927443104466
181,2018-12-10 11:00:00,52.37167908219479,40.4,0.2963286901533364
182,2018-12-10 10:00:00,51.11876450192044,39.3,0.3007319211684591
183,2018-12-10 09:00:00,51.05520502575548,37.2,0.3724517480041794
184,2018-12-10 08:00:00,51.5120462030057,38.2,0.34848288489543716
185,2018-12-10 07:00:00,56.26791422800821,40.1,0.4031898809977109
186,2018-12-10 06:00:00,56.841475874113456,38.7,0.4687719864112003
187,2018-12-10 05:00:00,65.12880001001304,46.1,0.41277223449052136
188,2018-12-10 04:00:00,76.27250878898707,49.8,0.5315764817065677
189,2018-12-10 03:00:00,76.29321728119491,49.3,0.547529762296043
190,2018-12-10 02:00:00,74.23364294498542,51.0,0.4555616263722631
191,2018-12-10 01:00:00,72.68631762159906,50.8,0.4308330240472257
192,2018-12-10 00:00:00,77.45685824967198,47.0,0.6480182606313187
193,2018-12-09 23:00:00,88.12749018356138,55.0,0.6023180033374796
194,2018-12-09 22:00:00,99.91565827412504,61.0,0.6379616110512301
195,2018-12-09 21:00:00,100.64030218058366,60.3,0.668993402663079
196,2018-12-09 20:00:00,101.63318474312746,58.2,0.7462746519437706
197,2018-12-09 19:00:00,100.39598217328103,60.8,0.6512497067973854
198,2018-12-09 18:00:00,91.9189965610532,57.1,0.6097897821550473
199,2018-12-09 17:00:00,74.64703232437839,48.5,0.5391140685438842
200,2018-12-09 16:00:00,78.44581383856257,51.6,0.5202677100496622
201,2018-12-09 15:00:00,72.07636551746322,49.0,0.4709462350502697
202,2018-12-09 14:00:00,52.57694454211279,40.2,0.3078841925898703
203,2018-12-09 13:00:00,42.07569521843445,34.3,0.22669665359867203
206,2018-12-09 10:00:00,51.312191077244016,37.2,0.3793599751947315
207,2018-12-09 09:00:00,75.62702959277347,48.8,0.5497342129666695
208,2018-12-09 08:00:00,60.610669083606126,48.7,0.24457226044365754
209,2018-12-09 07:00:00,55.0950818779521,46.2,0.19253423978251286
210,2018-12-09 06:00:00,38.4546882594482,43.9,0.12403899181211393
211,2018-12-09 05:00:00,35.608386379543646,43.9,0.18887502552292376
212,2018-12-09 04:00:00,33.779743138983115,44.0,0.23227856502311103
213,2018-12-09 03:00:00,35.93630458195741,44.7,0.19605582590699316
214,2018-12-09 02:00:00,31.8246922130921,42.8,0.25643242492775464
215,2018-12-09 01:00:00,29.810520471405475,40.6,0.2657507273052839
217,2018-12-08 23:00:00,35.190593702419676,31.0,0.13518044201353793
288,2018-12-06 00:00:00,36.92871577888008,33.6,0.0990689219904786
289,2018-12-05 23:00:00,37.46468677180647,33.8,0.10842268555640452
290,2018-12-05 22:00:00,55.0347841101989,43.8,0.25650192032417585
291,2018-12-05 21:00:00,56.98536352360528,43.9,0.2980720620411226
292,2018-12-05 20:00:00,52.785462572137945,40.0,0.3196365643034486
293,2018-12-05 19:00:00,52.540204240560776,41.7,0.25995693622447896
294,2018-12-05 18:00:00,48.930994726925874,38.8,0.2611081115187082
295,2018-12-05 17:00:00,43.82955788383215,36.3,0.20742583702016956
296,2018-12-05 16:00:00,37.058192522851485,30.8,0.20318806892374947
298,2018-12-05 14:00:00,37.11211571874199,31.2,0.18949088842121764
299,2018-12-05 13:00:00,44.93280869101148,36.2,0.24123780914396345
300,2018-12-05 12:00:00,50.00401839688824,40.2,0.24388105464896115
301,2018-12-05 11:00:00,48.81496157024161,38.2,0.27787857513721476
302,2018-12-05 10:00:00,48.31715941822434,39.3,0.22944426000570856
304,2018-12-05 08:00:00,36.85010067285292,31.2,0.18109297028374738
357,2018-12-03 03:00:00,90.25283349079716,30.9,1.920803672841332
358,2018-12-03 02:00:00,138.99912393169743,59.0,1.3559173547745327
359,2018-12-03 01:00:00,188.4913217536265,91.1,1.069059514309841
360,2018-12-03 00:00:00,209.16823694547813,99.6,1.1000827002558047
361,2018-12-02 23:00:00,207.84217378232108,97.0,1.1427028224981555
363,2018-12-02 21:00:00,216.83804489117594,99.4,1.181469264498752
364,2018-12-02 20:00:00,208.9776991023155,95.7,1.1836750167431087
365,2018-12-02 19:00:00,199.76238611276528,94.9,1.1049777251081694
366,2018-12-02 18:00:00,203.33370417487959,94.5,1.151679409257985
367,2018-12-02 17:00:00,208.0647674058284,97.6,1.13181114145316
368,2018-12-02 16:00:00,201.16562251199343,94.8,1.1220002374682851
369,2018-12-02 15:00:00,197.37568891629246,94.0,1.0997413714499198
370,2018-12-02 14:00:00,208.25280227262306,101.3,1.0558025890683422
371,2018-12-02 13:00:00,186.60006206349112,91.8,1.0326804146349795
372,2018-12-02 12:00:00,171.75650178793614,87.8,0.9562243939400473
373,2018-12-02 11:00:00,163.7347361477942,80.5,1.0339718776123503
374,2018-12-02 10:00:00,151.56392508874126,82.9,0.8282741265228136
375,2018-12-02 09:00:00,146.1046875745258,84.1,0.7372733362012581
376,2018-12-02 08:00:00,164.43033498681234,87.4,0.8813539472175324
377,2018-12-02 07:00:00,172.98505987842265,92.1,0.8782308347277161
378,2018-12-02 06:00:00,185.4527711764314,100.9,0.8379858392114113
379,2018-12-02 05:00:00,184.05446022267614,94.9,0.9394569043485367
380,2018-12-02 04:00:00,191.3844850940007,99.0,0.9331766171111181
381,2018-12-02 03:00:00,209.23124722268273,100.1,1.0902222499768506
382,2018-12-02 02:00:00,200.43190222477554,99.4,1.0164175274122287
383,2018-12-02 01:00:00,207.3337052104435,100.7,1.058924580044126
384,2018-12-02 00:00:00,207.34692033237917,98.5,1.1050448764708545
385,2018-12-01 23:00:00,202.8962162807338,100.2,1.0249123381310759
386,2018-12-01 22:00:00,201.72767376931196,100.5,1.0072405350180296
387,2018-12-01 21:00:00,202.42647647558607,97.0,1.0868708915008873
388,2018-12-01 20:00:00,187.24387365097672,91.8,1.039693612755738
389,2018-12-01 19:00:00,198.23620350080196,89.9,1.20507456619357
390,2018-12-01 18:00:00,204.22343663408168,91.2,1.2392920683561588
391,2018-12-01 17:00:00,224.54479258353098,103.0,1.180046529937194
392,2018-12-01 16:00:00,218.28600990488445,102.5,1.129619608828141
393,2018-12-01 15:00:00,198.42879587795068,91.2,1.175754340767003
394,2018-12-01 14:00:00,202.31086937399118,90.8,1.2280932750439557
395,2018-12-01 13:00:00,193.87958640701308,92.4,1.098263922153821
396,2018-12-01 12:00:00,183.25990334371534,89.3,1.0521825682386936
397,2018-12-01 11:00:00,133.68779010525435,66.2,1.019453022737981
398,2018-12-01 10:00:00,115.71576247801843,59.1,0.9579655241627484
399,2018-12-01 09:00:00,109.28952279999768,59.0,0.8523647932202997
400,2018-12-01 08:00:00,102.75529607480608,58.6,0.7535033459864519
401,2018-12-01 07:00:00,104.1187257549666,57.1,0.8234452846754221
402,2018-12-01 06:00:00,115.25008688744298,59.7,0.9304872175451083
403,2018-12-01 05:00:00,124.93473965595413,59.2,1.1103841158100358
404,2018-12-01 04:00:00,143.568865617317,68.9,1.0837280931395787
405,2018-12-01 03:00:00,158.9155752864659,80.1,0.9839647351618714
406,2018-12-01 02:00:00,169.04191332735172,80.2,1.1077545302662308
407,2018-12-01 01:00:00,172.26935504666213,84.8,1.0314782434747893
408,2018-12-01 00:00:00,169.71542035383698,81.7,1.0773001267299507
409,2018-11-30 23:00:00,159.85717164932362,82.8,0.9306421696778215
410,2018-11-30 22:00:00,160.458707367116,82.2,0.9520524010598054
411,2018-11-30 21:00:00,153.3012028549701,80.8,0.8972921145417091
412,2018-11-30 20:00:00,151.4058847175808,79.0,0.916530186298491
