,时间,方庄地区,方庄地区_root,相对偏差
388,2018-12-01 20:00:00,163.17506515646977,98.7,0.6532428080696024
389,2018-12-01 19:00:00,148.5537604158863,90.2,0.6469374768945266
390,2018-12-01 18:00:00,178.43384783021702,96.7,0.8452311047592246
391,2018-12-01 17:00:00,181.39330968355793,109.1,0.662633452644894
392,2018-12-01 16:00:00,166.01528670428587,102.8,0.6149346955669832
393,2018-12-01 15:00:00,155.84559655308422,96.0,0.623391630761294
394,2018-12-01 14:00:00,149.79929587102063,99.4,0.5070351697285777
395,2018-12-01 13:00:00,148.18532680588686,91.7,0.6159795725832808
396,2018-12-01 12:00:00,128.49396241723184,85.6,0.5010976917900917
397,2018-12-01 11:00:00,102.7024395013577,59.9,0.7145649332447029
398,2018-12-01 10:00:00,83.99086484585379,52.8,0.5907360766260189
399,2018-12-01 09:00:00,72.04148768833537,46.9,0.5360658355721827
400,2018-12-01 08:00:00,76.95266970583108,55.0,0.3991394491969288
401,2018-12-01 07:00:00,70.40580456588262,53.0,0.3284114069034456
402,2018-12-01 06:00:00,71.31460193896584,54.6,0.3061282406403999
403,2018-12-01 05:00:00,68.62894361735138,53.0,0.29488572862927137
404,2018-12-01 04:00:00,75.75924565431251,53.0,0.4294197293266511
405,2018-12-01 03:00:00,83.36216631364903,59.2,0.4081447012440713
406,2018-12-01 02:00:00,105.13871347900627,59.6,0.76407237380883
407,2018-12-01 01:00:00,127.08000908537484,62.7,1.0267944032755156
408,2018-12-01 00:00:00,147.71075213041945,78.9,0.8721261360002464
409,2018-11-30 23:00:00,146.63918534878331,73.0,1.0087559636819632
410,2018-11-30 22:00:00,144.61395146334888,65.7,1.2011255930494502
411,2018-11-30 21:00:00,153.8130190783532,66.3,1.3199550388891885
412,2018-11-30 20:00:00,150.3617779338461,65.9,1.281665826006769
413,2018-11-30 19:00:00,139.6071924244862,67.6,1.0651951542083757
414,2018-11-30 18:00:00,134.31019632969202,76.7,0.751110773529231
415,2018-11-30 17:00:00,100.67680775578039,67.7,0.4871020347973469
416,2018-11-30 16:00:00,102.65983812704731,68.6,0.4964990980619142
417,2018-11-30 15:00:00,102.7286376734127,68.7,0.49532223687645854
418,2018-11-30 14:00:00,99.97419693070135,60.4,0.6552019359387642
419,2018-11-30 13:00:00,84.19477156731071,56.6,0.48754013369806903
420,2018-11-30 12:00:00,72.8583117859448,51.3,0.42023999582738425
421,2018-11-30 11:00:00,67.04028516782878,47.2,0.4203450247421352
422,2018-11-30 10:00:00,62.62263765018612,45.0,0.391614170004136
423,2018-11-30 09:00:00,61.552620083666476,46.9,0.3124226030632511
424,2018-11-30 08:00:00,65.22421483086278,46.0,0.4179177137144082
425,2018-11-30 07:00:00,70.8128967289451,50.8,0.3939546600186045
426,2018-11-30 06:00:00,69.9253558698227,51.1,0.3684022675112073
427,2018-11-30 05:00:00,66.31591076151074,49.9,0.3289761675653454
428,2018-11-30 04:00:00,75.48514663799895,47.5,0.5891609818526095
429,2018-11-30 03:00:00,72.9085129202592,46.5,0.5679250090378323
430,2018-11-30 02:00:00,77.1435742703786,46.9,0.6448523298588187
431,2018-11-30 01:00:00,66.54942558702807,51.1,0.3023370956365571
432,2018-11-30 00:00:00,75.96016932776915,46.8,0.6230805411916486
433,2018-11-29 23:00:00,64.48765794698804,45.6,0.41420302515324636
434,2018-11-29 22:00:00,57.59655681496618,41.6,0.38453261574437925
435,2018-11-29 21:00:00,55.395737935398266,38.3,0.44636391476235693
436,2018-11-29 20:00:00,51.550709720225996,39.4,0.30839364772147204
437,2018-11-29 19:00:00,53.66869201912687,39.3,0.36561557300577296
438,2018-11-29 18:00:00,56.085505259603295,43.3,0.29527725772755886
439,2018-11-29 17:00:00,50.70206052325397,41.3,0.22765279717321968
440,2018-11-29 16:00:00,49.73147308564743,40.8,0.2189086540599861
441,2018-11-29 15:00:00,50.40242355731552,42.5,0.18593937781918876
442,2018-11-29 14:00:00,50.63955777577316,40.8,0.24116563175914624
443,2018-11-29 13:00:00,49.56239921826461,40.4,0.2267920598580349
444,2018-11-29 12:00:00,47.45944747934069,39.8,0.19244842912916313
445,2018-11-29 11:00:00,47.06383276455504,38.2,0.23203750692552444
446,2018-11-29 10:00:00,41.60053185848794,32.6,0.27608993430944595
454,2018-11-29 02:00:00,60.302580176112755,32.2,0.8727509371463587
455,2018-11-29 01:00:00,59.49637976967062,35.2,0.6902380616383696
456,2018-11-29 00:00:00,61.71944623139446,37.7,0.6371205896921606
457,2018-11-28 23:00:00,58.819975441078284,39.0,0.5082044984891868
458,2018-11-28 22:00:00,56.97052514412194,33.8,0.6855184953882233
459,2018-11-28 21:00:00,53.432127762683415,30.2,0.7692757537312389
463,2018-11-28 17:00:00,48.39567900316941,31.0,0.5611509355861101
464,2018-11-28 16:00:00,49.88726166774752,34.6,0.4418283719002172
465,2018-11-28 15:00:00,50.83410817018648,38.1,0.334228560897283
466,2018-11-28 14:00:00,52.31147887454389,41.5,0.26051756324202135
467,2018-11-28 13:00:00,56.123617828646026,41.9,0.3394658192994279
468,2018-11-28 12:00:00,54.96754095243375,40.2,0.3673517649859141
469,2018-11-28 11:00:00,52.57682899008616,41.0,0.28236168268502837
470,2018-11-28 10:00:00,56.497545150131664,42.8,0.32003610163859036
471,2018-11-28 09:00:00,58.29007110427137,43.9,0.3277920524890973
472,2018-11-28 08:00:00,55.94880315196493,45.1,0.24054995902361262
473,2018-11-28 07:00:00,57.9792005809436,44.6,0.29998207580591024
474,2018-11-28 06:00:00,54.11659522414961,43.0,0.25852547032906076
475,2018-11-28 05:00:00,50.16026623040692,37.1,0.3520287393640678
476,2018-11-28 04:00:00,51.679494268875445,30.0,0.7226498089625149
502,2018-11-27 02:00:00,86.41950652273485,30.0,1.880650217424495
503,2018-11-27 01:00:00,159.2826281014996,88.8,0.7937232894313018
504,2018-11-27 00:00:00,325.95144750065134,117.8,1.76699021647412
505,2018-11-26 23:00:00,334.8592169546616,121.6,1.7537764552192565
506,2018-11-26 22:00:00,379.05036187125467,138.8,1.7309103881214312
507,2018-11-26 21:00:00,316.65460482617453,169.5,0.868168760036428
508,2018-11-26 20:00:00,337.47753329695286,157.8,1.138640895417952
509,2018-11-26 19:00:00,308.1466139119819,140.3,1.1963407976620233
510,2018-11-26 18:00:00,312.5608930563611,126.1,1.47867480615671
511,2018-11-26 17:00:00,303.482931853257,126.0,1.4085946972480716
512,2018-11-26 16:00:00,254.79650969856203,136.5,0.8666410966927621
513,2018-11-26 15:00:00,214.60059540975035,125.0,0.7168047632780028
514,2018-11-26 14:00:00,283.17353130029767,153.1,0.849598506207039
515,2018-11-26 13:00:00,284.24950056569406,155.1,0.8326853679283951
516,2018-11-26 12:00:00,271.18364531116293,148.2,0.8298491586448242
517,2018-11-26 11:00:00,264.46415407216983,136.2,0.9417338771818639
518,2018-11-26 10:00:00,235.09567934084686,112.5,1.0897393719186388
519,2018-11-26 09:00:00,222.4546224691556,96.8,1.2980849428631778
520,2018-11-26 08:00:00,221.92928506966078,105.0,1.113612238758674
521,2018-11-26 07:00:00,209.37658537284364,124.7,0.6790423847060435
522,2018-11-26 06:00:00,206.87138341460036,102.8,1.0123675429435832
523,2018-11-26 05:00:00,199.49222638655124,107.5,0.8557416408051278
524,2018-11-26 04:00:00,185.1399859412185,109.0,0.6985319811120964
525,2018-11-26 03:00:00,169.40689602677594,99.5,0.7025818696158386
526,2018-11-26 02:00:00,167.8846361188702,89.4,0.8779042071461989
527,2018-11-26 01:00:00,170.256431414039,80.6,1.1123626726307572
