,时间,卢沟桥乡,卢沟桥乡_root,相对偏差
136,2018-12-12 08:00:00,33.497459605506904,36.6,0.08476886323751631
137,2018-12-12 07:00:00,32.939913272075515,37.3,0.11689240557438292
138,2018-12-12 06:00:00,31.809266803342524,35.8,0.11147299432004115
139,2018-12-12 05:00:00,35.142363739194145,39.6,0.11256657224257212
140,2018-12-12 04:00:00,35.70808529353551,42.2,0.15383684138541448
141,2018-12-12 03:00:00,31.889538231921293,39.2,0.18649137163466095
142,2018-12-12 02:00:00,29.563164918693115,32.5,0.09036415634790415
143,2018-12-12 01:00:00,25.959987851858347,32.0,0.18875037962942665
163,2018-12-11 05:00:00,49.83154450205525,51.0,0.02291089211656369
164,2018-12-11 04:00:00,72.95175838359476,74.2,0.016822663293871134
165,2018-12-11 03:00:00,71.21946956233987,84.9,0.16113698984287558
166,2018-12-11 02:00:00,75.5037997845807,85.1,0.1127638098169129
167,2018-12-11 01:00:00,85.24305519571959,87.3,0.023561796154414727
168,2018-12-11 00:00:00,94.5525419957684,89.2,0.06000607618574429
169,2018-12-10 23:00:00,97.96856638765414,99.3,0.01340819347780324
170,2018-12-10 22:00:00,96.21524592852295,89.8,0.07143926423744933
171,2018-12-10 21:00:00,97.89621932709716,74.4,0.3158093995577574
172,2018-12-10 20:00:00,71.62690042763928,73.4,0.02415666992317058
174,2018-12-10 18:00:00,76.04896409965858,70.6,0.0771807946127278
175,2018-12-10 17:00:00,68.25939629668935,73.8,0.07507593093916873
176,2018-12-10 16:00:00,63.95181916540804,68.5,0.06639680050499212
177,2018-12-10 15:00:00,63.31329054946452,68.0,0.06892219780199238
178,2018-12-10 14:00:00,64.98923312514674,67.9,0.042868437037603326
179,2018-12-10 13:00:00,66.79428193012485,67.7,0.013378405758864837
180,2018-12-10 12:00:00,70.5045295906218,66.7,0.05703942414725333
181,2018-12-10 11:00:00,66.93251837278153,61.4,0.09010616242315198
182,2018-12-10 10:00:00,65.48788226342025,60.4,0.08423646131490477
183,2018-12-10 09:00:00,63.12986698062277,57.0,0.1075415259758381
184,2018-12-10 08:00:00,61.34807745903222,59.4,0.03279591681872424
185,2018-12-10 07:00:00,59.65048910043406,59.3,0.0059104401422269935
186,2018-12-10 06:00:00,59.606984864492006,58.4,0.02066754904952067
187,2018-12-10 05:00:00,63.98134506212375,60.9,0.0505967990496511
188,2018-12-10 04:00:00,65.00473538132961,61.4,0.05870904529852787
189,2018-12-10 03:00:00,62.73784919428742,60.0,0.04563081990479034
190,2018-12-10 02:00:00,56.83747764113758,56.8,0.0006598176256617039
191,2018-12-10 01:00:00,74.58213226885425,57.4,0.29934028342951663
192,2018-12-10 00:00:00,80.47994831193469,65.1,0.23625112614339014
193,2018-12-09 23:00:00,82.93982131227608,84.3,0.016134978502063066
194,2018-12-09 22:00:00,108.86330877900812,101.5,0.07254491407889775
195,2018-12-09 21:00:00,86.31541166339755,113.6,0.24018123535741584
196,2018-12-09 20:00:00,103.25239436840995,112.8,0.08464189389707487
197,2018-12-09 19:00:00,111.05984662408628,116.1,0.043412173780479915
198,2018-12-09 18:00:00,84.91611589517292,91.6,0.07296816708326499
199,2018-12-09 17:00:00,76.53823384193328,70.3,0.08873732349833968
200,2018-12-09 16:00:00,81.24307867591584,87.0,0.06617150947223173
201,2018-12-09 15:00:00,65.19611772671352,65.4,0.003117465952392684
202,2018-12-09 14:00:00,48.17411051746982,51.1,0.05725811120411313
203,2018-12-09 13:00:00,33.25550682839759,40.8,0.18491404832358835
204,2018-12-09 12:00:00,37.81430339720338,33.8,0.118766372698325
205,2018-12-09 11:00:00,32.77705921490586,32.0,0.02428310046580817
206,2018-12-09 10:00:00,11.76305110884734,36.5,0.6777246271548674
207,2018-12-09 09:00:00,7.803751432895079,40.1,0.8053927323467562
208,2018-12-09 08:00:00,10.235798885491409,42.6,0.7597230308570091
209,2018-12-09 07:00:00,7.7657946292203155,53.5,0.8548449602014894
210,2018-12-09 06:00:00,9.889027297271756,51.8,0.809092137118306
211,2018-12-09 05:00:00,8.693903746245995,53.0,0.8359640802595095
212,2018-12-09 04:00:00,6.90565448503983,69.4,0.9004948921464001
213,2018-12-09 03:00:00,6.442525426759838,73.2,0.9119873575579256
214,2018-12-09 02:00:00,6.4348783740227935,67.2,0.9042428813389465
215,2018-12-09 01:00:00,6.251515596826924,65.0,0.9038228369718935
217,2018-12-08 23:00:00,47.11786275719987,54.2,0.13066673879705035
218,2018-12-08 22:00:00,8.69513225325998,48.5,0.8207189226131963
219,2018-12-08 21:00:00,7.953795534808206,43.0,0.8150280108184138
220,2018-12-08 20:00:00,8.098942110287313,36.6,0.7787174286806746
221,2018-12-08 19:00:00,6.843723311830823,33.2,0.7938637556677464
286,2018-12-06 02:00:00,27.9108404810556,35.7,0.21818374002645383
287,2018-12-06 01:00:00,60.3033031977619,50.8,0.18707289759373824
288,2018-12-06 00:00:00,63.836879778877496,57.8,0.10444428683179063
289,2018-12-05 23:00:00,60.232845354991355,56.4,0.06795825097502405
290,2018-12-05 22:00:00,57.74877661133303,54.2,0.06547558323492667
291,2018-12-05 21:00:00,64.92403261103973,61.0,0.06432840345966778
292,2018-12-05 20:00:00,62.68682705092211,57.5,0.09020568784212368
293,2018-12-05 19:00:00,62.21056336610402,56.9,0.09333151785771565
294,2018-12-05 18:00:00,62.78681662818034,59.8,0.049946766357530814
295,2018-12-05 17:00:00,67.75067759721547,57.0,0.18860837889851703
296,2018-12-05 16:00:00,62.56591101616025,53.7,0.16510076380186678
297,2018-12-05 15:00:00,52.783662606554216,47.1,0.12067224217737187
298,2018-12-05 14:00:00,46.94066180340351,45.5,0.03166289677809907
299,2018-12-05 13:00:00,46.006769885603354,45.2,0.017848891274410434
300,2018-12-05 12:00:00,37.562021990494216,41.6,0.0970667790746583
301,2018-12-05 11:00:00,32.723238888587204,39.9,0.17986869953415527
302,2018-12-05 10:00:00,37.816011901422144,31.4,0.20433158921726577
