,时间,东铁匠营街道,东铁匠营街道_root,相对偏差
171,2018-12-10 21:00:00,57.78501286019317,51.6,0.1198645903138211
172,2018-12-10 20:00:00,56.515668202193496,51.8,0.09103606567941117
174,2018-12-10 18:00:00,52.75364139425335,52.8,0.0008780038967168028
175,2018-12-10 17:00:00,52.23402271579765,58.1,0.10096346444410244
176,2018-12-10 16:00:00,55.13194266424651,58.7,0.06078462241488064
177,2018-12-10 15:00:00,53.14318194349441,58.1,0.0853152849656728
178,2018-12-10 14:00:00,56.30443630050791,61.0,0.07697645409003427
179,2018-12-10 13:00:00,56.17228205764886,57.4,0.021388814326674936
180,2018-12-10 12:00:00,53.476979299971035,56.4,0.051826608156541915
181,2018-12-10 11:00:00,52.76518194304258,54.4,0.030051802517599653
182,2018-12-10 10:00:00,50.30993658336121,52.9,0.04896150125971251
183,2018-12-10 09:00:00,48.935210425755244,54.3,0.09879907134889049
184,2018-12-10 08:00:00,42.64173761945299,49.8,0.14374020844471905
185,2018-12-10 07:00:00,46.70754747244612,48.8,0.04287812556462857
186,2018-12-10 06:00:00,43.40898570335433,47.4,0.0841986138532841
187,2018-12-10 05:00:00,49.87324236822854,53.7,0.071261780852355
188,2018-12-10 04:00:00,59.76076124558127,58.8,0.01633947696566793
189,2018-12-10 03:00:00,58.873589557681285,56.6,0.04016942681415695
190,2018-12-10 02:00:00,55.45245491263409,54.0,0.026897313196927567
191,2018-12-10 01:00:00,57.15981460859371,56.0,0.02071097515345916
192,2018-12-10 00:00:00,60.08986947362951,55.8,0.07687938124784079
193,2018-12-09 23:00:00,76.0205520477572,63.3,0.20095658843218342
194,2018-12-09 22:00:00,81.5898502578903,69.5,0.17395467996964467
195,2018-12-09 21:00:00,80.35165005022193,70.0,0.1478807150031705
196,2018-12-09 20:00:00,80.00191622479596,80.2,0.0024698725087785546
197,2018-12-09 19:00:00,82.34621532141028,83.7,0.01617424944551635
198,2018-12-09 18:00:00,73.86921743154012,78.8,0.06257338284847558
199,2018-12-09 17:00:00,82.7402705193977,72.1,0.14757656753672266
200,2018-12-09 16:00:00,72.36415031636881,70.1,0.032298863286288344
201,2018-12-09 15:00:00,65.74621154347238,62.1,0.05871516173063418
202,2018-12-09 14:00:00,48.68848030628017,48.2,0.010134446188385198
207,2018-12-09 09:00:00,18.283688500493618,51.3,0.6435928167545103
210,2018-12-09 06:00:00,17.873087715235208,41.7,0.5713887838073092
211,2018-12-09 05:00:00,17.83334771974129,57.0,0.6871342505308545
212,2018-12-09 04:00:00,17.889826465923253,52.6,0.6598892306858697
213,2018-12-09 03:00:00,18.849017707697147,50.4,0.6260115534187074
214,2018-12-09 02:00:00,19.90610392514008,52.4,0.6201125205125939
215,2018-12-09 01:00:00,17.010890506691545,49.6,0.6570384978489607
217,2018-12-08 23:00:00,29.03121401370852,41.7,0.3038078174170619
218,2018-12-08 22:00:00,10.828302617300958,38.9,0.7216374648508752
219,2018-12-08 21:00:00,9.87435124228781,31.8,0.6894858099909493
287,2018-12-06 01:00:00,32.68425430429528,33.1,0.012560292921592798
288,2018-12-06 00:00:00,41.89847686569707,43.8,0.04341377018956455
289,2018-12-05 23:00:00,42.727875394432665,42.6,0.0030017698223630007
290,2018-12-05 22:00:00,49.55797705713494,43.9,0.12888330426275496
291,2018-12-05 21:00:00,62.68699288744099,50.4,0.24378954141747994
292,2018-12-05 20:00:00,57.72676517395252,52.4,0.10165582393039167
293,2018-12-05 19:00:00,42.37405836930298,53.7,0.2109113897708943
294,2018-12-05 18:00:00,57.31901291283739,54.9,0.044062165989752065
295,2018-12-05 17:00:00,39.8556429388137,51.0,0.21851680512129995
296,2018-12-05 16:00:00,49.12214388499354,48.5,0.01282770896893899
297,2018-12-05 15:00:00,43.90855697929064,47.1,0.06775887517429649
298,2018-12-05 14:00:00,50.46785798236949,46.9,0.0760737309673665
299,2018-12-05 13:00:00,54.19260581000003,48.0,0.12901262104166733
300,2018-12-05 12:00:00,47.04688703329142,44.2,0.06440920889799584
301,2018-12-05 11:00:00,43.84258727192127,42.0,0.043871125521934944
302,2018-12-05 10:00:00,38.54475760388187,40.7,0.05295435862698116
304,2018-12-05 08:00:00,31.941528778520148,33.4,0.04366680303831889
353,2018-12-03 07:00:00,49.43582596553094,31.4,0.5743893619595841
354,2018-12-03 06:00:00,58.01473396082531,38.5,0.5068762067746834
