,时间,马家堡街道,马家堡街道_root,相对偏差
124,2018-12-12 20:00:00,76.16195268152325,60.1,0.2672537883780906
125,2018-12-12 19:00:00,66.93996374905258,47.2,0.41821957095450374
126,2018-12-12 18:00:00,48.53556077379796,46.9,0.03487336404686487
128,2018-12-12 16:00:00,40.64552278830482,33.7,0.20609859905949002
129,2018-12-12 15:00:00,37.38570236689146,32.2,0.16104665735687748
164,2018-12-11 04:00:00,56.379533868824545,51.8,0.08840798974564765
165,2018-12-11 03:00:00,61.74973819168868,57.3,0.07765686198409566
166,2018-12-11 02:00:00,61.30525801373753,57.4,0.06803585389786639
167,2018-12-11 01:00:00,66.64822707084247,61.9,0.0767080302236263
168,2018-12-11 00:00:00,68.87635561466753,61.0,0.1291205838470087
169,2018-12-10 23:00:00,59.97564824156914,54.3,0.1045239086845146
170,2018-12-10 22:00:00,56.804818211872266,50.0,0.13609636423744534
171,2018-12-10 21:00:00,55.99407842063286,49.8,0.12437908475166393
172,2018-12-10 20:00:00,54.862839034494726,51.7,0.06117677049312811
174,2018-12-10 18:00:00,52.75600828899041,49.4,0.0679353904653929
175,2018-12-10 17:00:00,51.21658931192323,51.9,0.013167835993772047
176,2018-12-10 16:00:00,48.425293428462446,48.3,0.002594066841872645
177,2018-12-10 15:00:00,50.82299240611091,49.7,0.022595420646094773
178,2018-12-10 14:00:00,51.67400309852382,51.7,0.0005028414212027777
179,2018-12-10 13:00:00,52.924437945121205,49.7,0.06487802706481292
180,2018-12-10 12:00:00,50.96127425278166,47.0,0.08428243091024801
181,2018-12-10 11:00:00,45.098222118802546,45.3,0.004454257863078386
182,2018-12-10 10:00:00,40.7041921502595,33.1,0.2297339018205287
183,2018-12-10 09:00:00,40.116731725687714,31.8,0.2615324442040161
184,2018-12-10 08:00:00,40.03368326537608,30.8,0.29979491121350893
185,2018-12-10 07:00:00,38.70092850369573,31.7,0.22084947961185264
186,2018-12-10 06:00:00,42.97386586915198,32.5,0.32227279597390707
187,2018-12-10 05:00:00,48.51250750095266,44.6,0.08772438342943177
188,2018-12-10 04:00:00,61.53077082359809,48.6,0.2660652432839113
189,2018-12-10 03:00:00,67.75103271521893,48.1,0.40854537869478014
190,2018-12-10 02:00:00,79.82475008919833,43.5,0.8350517261884675
191,2018-12-10 01:00:00,89.18973594287907,60.2,0.4815570754631074
192,2018-12-10 00:00:00,93.74124794402401,58.6,0.5996799990447783
193,2018-12-09 23:00:00,92.44844587815871,50.4,0.8342945610745776
194,2018-12-09 22:00:00,89.3680083110062,49.1,0.8201223688595966
195,2018-12-09 21:00:00,88.8847873310016,45.4,0.9578146989207402
196,2018-12-09 20:00:00,92.80730191933989,46.9,0.9788337296234519
197,2018-12-09 19:00:00,97.0196466769508,47.9,1.0254623523371775
198,2018-12-09 18:00:00,87.29087903832749,52.1,0.6754487339410267
199,2018-12-09 17:00:00,71.70007258498975,64.5,0.11162903232542255
200,2018-12-09 16:00:00,67.42830852168368,60.8,0.10901823226453418
201,2018-12-09 15:00:00,63.42045361646698,56.8,0.1165572819800525
202,2018-12-09 14:00:00,38.74850878771359,42.4,0.08612007576147192
206,2018-12-09 10:00:00,26.646706005068737,38.2,0.30244225117621115
207,2018-12-09 09:00:00,29.16412834142786,51.8,0.4369859393546745
208,2018-12-09 08:00:00,27.52353266193011,51.6,0.4665982042261607
