,时间,右安门街道,右安门街道_root,相对偏差
420,2018-11-30 12:00:00,94.40958292455392,49.8,0.8957747575211631
421,2018-11-30 11:00:00,77.65788131944528,46.5,0.6700619638590383
422,2018-11-30 10:00:00,73.33611320598857,45.7,0.6047289541791808
423,2018-11-30 09:00:00,71.26290256540233,46.6,0.5292468361674318
424,2018-11-30 08:00:00,76.99471031171117,50.3,0.5307099465548942
425,2018-11-30 07:00:00,85.22581273197954,52.0,0.6389579371534528
426,2018-11-30 06:00:00,81.4917425852961,51.8,0.573199663808805
427,2018-11-30 05:00:00,79.14891629399531,49.4,0.6022047832792574
428,2018-11-30 04:00:00,80.16559972315659,49.7,0.6129899340675369
429,2018-11-30 03:00:00,78.509531480661,50.7,0.5485114690465679
430,2018-11-30 02:00:00,74.52673047703743,50.4,0.4787049697824888
431,2018-11-30 01:00:00,71.04351911326415,47.5,0.49565303396345584
432,2018-11-30 00:00:00,66.10931260273375,44.2,0.49568580549171376
433,2018-11-29 23:00:00,66.2959726186169,45.0,0.47324383596926445
434,2018-11-29 22:00:00,62.74510060545545,43.1,0.45580279827042797
435,2018-11-29 21:00:00,60.82503508499276,40.4,0.505570175371108
436,2018-11-29 20:00:00,58.93981467315301,39.7,0.4846300925227457
437,2018-11-29 19:00:00,60.011594121155646,38.5,0.5587427044456011
438,2018-11-29 18:00:00,63.66775373058658,42.1,0.5122981883749782
439,2018-11-29 17:00:00,62.94889406489092,40.4,0.5581409422002704
440,2018-11-29 16:00:00,61.75151550091491,39.0,0.5833721923311516
441,2018-11-29 15:00:00,59.35305236104114,37.1,0.5998127321035346
442,2018-11-29 14:00:00,60.249675653269506,36.1,0.6689660845781026
443,2018-11-29 13:00:00,64.28730147781036,36.5,0.761295930898914
444,2018-11-29 12:00:00,59.56954803313723,36.0,0.6547096675871453
453,2018-11-29 03:00:00,52.07397449238865,31.1,0.6744043245141045
454,2018-11-29 02:00:00,65.66562810502435,36.5,0.7990583042472426
455,2018-11-29 01:00:00,69.95552727716446,39.6,0.7665537191203147
456,2018-11-29 00:00:00,65.26222792727077,38.9,0.6776922346342101
457,2018-11-28 23:00:00,69.04306421053619,40.6,0.7005680840033544
458,2018-11-28 22:00:00,67.70003040266506,38.2,0.7722521047818078
459,2018-11-28 21:00:00,68.20118953368338,36.4,0.8736590531231697
460,2018-11-28 20:00:00,65.28256715701153,35.6,0.8337799763205485
461,2018-11-28 19:00:00,62.16034115770484,33.3,0.8666769116427882
462,2018-11-28 18:00:00,62.00713779200883,34.2,0.8130742044447024
463,2018-11-28 17:00:00,64.54624816500097,36.0,0.7929513379166937
464,2018-11-28 16:00:00,64.77232168095432,35.1,0.8453652900556786
465,2018-11-28 15:00:00,65.92267991953942,36.0,0.8311855533205394
466,2018-11-28 14:00:00,65.52496164491593,36.3,0.8050953621188964
467,2018-11-28 13:00:00,64.1920895359138,34.1,0.8824659687951258
468,2018-11-28 12:00:00,59.309670691402104,33.6,0.7651687705774435
469,2018-11-28 11:00:00,60.300313787692595,31.4,0.9203921588437133
470,2018-11-28 10:00:00,66.61800783678407,36.0,0.8505002176884465
471,2018-11-28 09:00:00,60.902327025375826,37.3,0.632770161538226
472,2018-11-28 08:00:00,65.76695028557177,38.7,0.6994044001439732
473,2018-11-28 07:00:00,67.47540779973035,37.3,0.80899216621261
474,2018-11-28 06:00:00,60.43040686958127,35.7,0.6927284837417721
475,2018-11-28 05:00:00,58.831145043874905,34.7,0.6954220473739164
476,2018-11-28 04:00:00,53.90988167728582,32.0,0.6846838024151818
477,2018-11-28 03:00:00,53.06889080196329,31.8,0.6688330440868959
503,2018-11-27 01:00:00,139.28479529381588,30.5,3.566714599797242
504,2018-11-27 00:00:00,279.0616177848296,112.9,1.4717592363581007
505,2018-11-26 23:00:00,321.662734590274,143.4,1.2431153039768061
506,2018-11-26 22:00:00,334.0948929478632,150.6,1.2184255839831553
507,2018-11-26 21:00:00,332.46228566498655,149.4,1.2253165037817038
508,2018-11-26 20:00:00,317.25165609775485,141.3,1.2452346503733533
509,2018-11-26 19:00:00,291.735064568299,132.5,1.2017740722135772
510,2018-11-26 18:00:00,272.59632356458184,122.2,1.23073914537301
511,2018-11-26 17:00:00,271.28421716104447,120.5,1.251321304241033
512,2018-11-26 16:00:00,224.33669660223322,89.2,1.5149853879174124
513,2018-11-26 15:00:00,228.21481246857812,96.4,1.367373573325499
514,2018-11-26 14:00:00,289.5310912245139,123.5,1.344381305461651
515,2018-11-26 13:00:00,300.55607628594,134.4,1.2362803295084819
516,2018-11-26 12:00:00,291.5251600571413,135.5,1.1514771959936627
517,2018-11-26 11:00:00,268.4627644219939,127.4,1.1072430488382565
518,2018-11-26 10:00:00,241.13953660149937,120.6,0.999498645120227
519,2018-11-26 09:00:00,217.3848056382389,108.1,1.010960274174273
520,2018-11-26 08:00:00,184.03550959089796,94.2,0.9536678300519953
521,2018-11-26 07:00:00,179.0015767105655,90.5,0.9779179747023813
522,2018-11-26 06:00:00,188.3775270615861,98.2,0.9183047562279644
523,2018-11-26 05:00:00,204.71513629307395,104.0,0.968414772048788
524,2018-11-26 04:00:00,196.66704723028514,92.6,1.1238342033508115
525,2018-11-26 03:00:00,189.85467300632268,89.4,1.123654060473408
526,2018-11-26 02:00:00,180.69210510408797,87.7,1.0603432737068184
527,2018-11-26 01:00:00,175.135139528196,81.4,1.1515373406412284
