,时间,南苑街道,南苑街道_root,相对偏差
77,2018-12-14 19:00:00,47.619567597968356,56.5,0.15717579472622378
78,2018-12-14 18:00:00,43.46121780802223,52.5,0.17216727984719568
79,2018-12-14 17:00:00,46.89206352242104,56.0,0.16264172281391
80,2018-12-14 16:00:00,53.86477041819631,73.7,0.2691347297395345
81,2018-12-14 15:00:00,73.43947154195898,84.2,0.12779725009549908
82,2018-12-14 14:00:00,95.9622660471764,104.4,0.08082120644467056
83,2018-12-14 13:00:00,89.94626761313229,93.4,0.036977862814429475
84,2018-12-14 12:00:00,65.69897348192474,70.8,0.07204839714795563
85,2018-12-14 11:00:00,48.05056241887354,57.7,0.1672346201235089
86,2018-12-14 10:00:00,45.642457083852015,55.7,0.18056630011037678
87,2018-12-14 09:00:00,49.41057430926454,55.7,0.11291608062361692
88,2018-12-14 08:00:00,45.902360417040875,53.3,0.1387924874851618
89,2018-12-14 07:00:00,43.39091149848182,50.4,0.13906921629996385
90,2018-12-14 06:00:00,40.829467154322614,48.0,0.1493861009516122
91,2018-12-14 05:00:00,38.83565047316049,47.7,0.18583541984988491
92,2018-12-14 04:00:00,36.55427599524784,43.4,0.15773557614636305
93,2018-12-14 03:00:00,34.53783491280745,41.0,0.1576137826144525
94,2018-12-14 02:00:00,34.70835542956355,40.9,0.15138495282240713
95,2018-12-14 01:00:00,32.028838963609445,38.6,0.17023733254897813
96,2018-12-14 00:00:00,31.186530934919116,36.1,0.13610717631803007
97,2018-12-13 23:00:00,30.56812085615425,31.7,0.03570596668283126
118,2018-12-13 02:00:00,31.178190638971902,32.2,0.031733209969816795
119,2018-12-13 01:00:00,55.91140886933495,62.7,0.10827099091969783
120,2018-12-13 00:00:00,67.98236715295285,61.6,0.10360985637910464
121,2018-12-12 23:00:00,102.21947068078397,108.9,0.061345540121359364
122,2018-12-12 22:00:00,123.75741260637353,136.6,0.09401601313050117
123,2018-12-12 21:00:00,118.67705965587801,136.1,0.12801572626099914
124,2018-12-12 20:00:00,100.34464012300941,118.0,0.14962169387280158
125,2018-12-12 19:00:00,89.08394426438694,104.8,0.14996236388943754
126,2018-12-12 18:00:00,58.865081994970005,75.4,0.21929599476167108
127,2018-12-12 17:00:00,50.87119956296154,61.6,0.17416883826361135
128,2018-12-12 16:00:00,44.41505050939529,58.4,0.23946831319528605
129,2018-12-12 15:00:00,43.602279439390664,56.5,0.22827824001078473
130,2018-12-12 14:00:00,36.23291158999534,55.0,0.341219789272812
132,2018-12-12 12:00:00,16.753828821390417,30.0,0.44153903928698607
133,2018-12-12 11:00:00,22.092435101442053,32.8,0.3264501493462788
134,2018-12-12 10:00:00,25.771247866053393,30.5,0.1550410535720199
135,2018-12-12 09:00:00,38.76407504523346,45.0,0.13857611010592308
136,2018-12-12 08:00:00,29.983722338199414,39.3,0.23705541124174515
137,2018-12-12 07:00:00,31.458779639178662,41.9,0.24919380336089111
138,2018-12-12 06:00:00,29.724121558458762,44.0,0.32445178276230086
139,2018-12-12 05:00:00,27.33574210068154,43.0,0.3642850674260107
140,2018-12-12 04:00:00,26.05042112320825,36.2,0.28037510709369484
141,2018-12-12 03:00:00,24.300860086116945,37.4,0.3502443827241458
162,2018-12-11 06:00:00,19.39393127976233,33.9,0.42790763186541797
163,2018-12-11 05:00:00,38.162282815701346,53.6,0.288017111647363
164,2018-12-11 04:00:00,61.48677637081098,76.6,0.19730056957165817
165,2018-12-11 03:00:00,66.27028469480996,83.6,0.2072932452773928
166,2018-12-11 02:00:00,66.67494860971122,88.6,0.24746107663982814
