,时间,西罗园街道,西罗园街道_root,相对偏差
165,2018-12-11 03:00:00,72.80392800214075,30.9,1.3561141748265617
166,2018-12-11 02:00:00,73.01146109733375,31.3,1.3326345398509185
167,2018-12-11 01:00:00,77.21226563557163,32.0,1.4128833011116133
168,2018-12-11 00:00:00,86.62811607939948,32.6,1.6573041742147077
192,2018-12-10 00:00:00,91.09293733150936,31.4,1.901048959602209
193,2018-12-09 23:00:00,95.91620875033428,32.6,1.9422149923415422
194,2018-12-09 22:00:00,105.17232750036287,36.0,1.9214535416767464
195,2018-12-09 21:00:00,102.30715113396813,37.6,1.7209348705842586
196,2018-12-09 20:00:00,104.76459958366289,36.8,1.8468641191212742
197,2018-12-09 19:00:00,104.67543115381883,38.6,1.7117987345548922
198,2018-12-09 18:00:00,90.11417511386873,35.1,1.5673554163495362
199,2018-12-09 17:00:00,91.97164001749293,32.0,1.874113750546654
200,2018-12-09 16:00:00,81.81190613325592,31.6,1.588984371305567
291,2018-12-05 21:00:00,64.25669768409925,32.0,1.0080218026281016
292,2018-12-05 20:00:00,60.75756640029956,32.5,0.8694635815476788
358,2018-12-03 02:00:00,138.31792405105756,69.1,1.001706570927027
359,2018-12-03 01:00:00,191.58932573773626,108.3,0.7690611794804826
360,2018-12-03 00:00:00,195.83000240397482,128.0,0.5299218937810533
361,2018-12-02 23:00:00,204.32333933837344,129.1,0.5826749755102514
363,2018-12-02 21:00:00,186.8236168950041,117.3,0.5926992062660197
364,2018-12-02 20:00:00,205.20580843596457,119.6,0.715767629063249
365,2018-12-02 19:00:00,198.60057305873016,123.8,0.6042049520091289
366,2018-12-02 18:00:00,203.4231593991128,125.2,0.6247856182037762
367,2018-12-02 17:00:00,203.44618489363992,122.9,0.6553798608107397
368,2018-12-02 16:00:00,207.0870838612249,125.7,0.6474708342181773
369,2018-12-02 15:00:00,203.65526921707144,126.3,0.6124724403568602
370,2018-12-02 14:00:00,197.71685157947505,126.1,0.567936967323355
371,2018-12-02 13:00:00,191.11568578797437,124.6,0.5338337543176114
372,2018-12-02 12:00:00,177.8291812199754,124.8,0.4249133110574952
373,2018-12-02 11:00:00,161.8028238437215,123.6,0.3090843353051903
374,2018-12-02 10:00:00,158.41791328919936,123.5,0.2827361399935171
375,2018-12-02 09:00:00,164.02305065304537,122.7,0.3367811789164252
376,2018-12-02 08:00:00,166.9279395156367,117.4,0.4218734200650484
377,2018-12-02 07:00:00,174.51716131166148,119.4,0.46161776642932556
378,2018-12-02 06:00:00,168.39778317009706,109.0,0.5449337905513492
379,2018-12-02 05:00:00,170.53843367332354,109.7,0.5545891857185372
380,2018-12-02 04:00:00,185.93965087821954,118.2,0.5730934930475425
381,2018-12-02 03:00:00,183.39915536837253,111.9,0.6389558120497991
382,2018-12-02 02:00:00,191.92317412417933,104.9,0.8295822128139115
383,2018-12-02 01:00:00,188.60526245615145,92.6,1.0367738926150265
384,2018-12-02 00:00:00,195.96814636898046,88.0,1.2269107541929598
385,2018-12-01 23:00:00,194.70137845913226,85.9,1.2666051042972322
386,2018-12-01 22:00:00,184.7449842262378,82.6,1.2366220850634118
387,2018-12-01 21:00:00,183.72300057623008,78.3,1.3463984747922104
388,2018-12-01 20:00:00,186.1963647891428,74.5,1.4992800642837958
389,2018-12-01 19:00:00,178.00113351698326,76.9,1.3147091484653217
390,2018-12-01 18:00:00,202.3850359378522,79.3,1.5521442110700152
391,2018-12-01 17:00:00,209.736775603301,83.6,1.5088131053026437
392,2018-12-01 16:00:00,187.24329165755822,77.1,1.4285770643003661
393,2018-12-01 15:00:00,176.22981068061083,67.7,1.6030991237904109
394,2018-12-01 14:00:00,180.76023649728347,73.4,1.4626735217613551
395,2018-12-01 13:00:00,170.59640543402776,69.5,1.4546245386191043
