,时间,羊坊村盛芳花卉,羊坊村盛芳花卉_root,相对偏差
251,2018-12-07 13:00:00,4.645673485446703,47.4,0.9019900108555549
252,2018-12-07 12:00:00,5.507841088264009,48.8,0.8871344039290162
253,2018-12-07 11:00:00,4.685655096267334,49.2,0.9047631077994445
254,2018-12-07 10:00:00,4.795685263758297,49.8,0.9037010991213194
255,2018-12-07 09:00:00,4.813865637131399,52.0,0.9074256608243961
256,2018-12-07 08:00:00,5.89369317553533,54.0,0.8908575337863828
257,2018-12-07 07:00:00,8.700293565379873,53.2,0.8364606472672956
258,2018-12-07 06:00:00,5.695367590490655,50.6,0.8874433282511728
259,2018-12-07 05:00:00,5.600651761221915,50.2,0.8884332318481691
260,2018-12-07 04:00:00,5.043605518270393,48.4,0.8957932744159011
261,2018-12-07 03:00:00,5.050084499407974,49.1,0.8971469552055402
262,2018-12-07 02:00:00,6.414902510686587,47.1,0.8638024944652529
263,2018-12-07 01:00:00,7.264718139988375,47.8,0.8480184489542181
264,2018-12-07 00:00:00,8.278325913177,46.4,0.8215878035953232
265,2018-12-06 23:00:00,7.50076625207827,42.8,0.824748452054246
266,2018-12-06 22:00:00,9.133845235211943,44.3,0.7938183919816717
267,2018-12-06 21:00:00,9.652694988432149,44.6,0.7835718612459158
268,2018-12-06 20:00:00,5.161578894187855,44.8,0.8847861853975926
269,2018-12-06 19:00:00,5.637080899869417,44.3,0.8727521241564465
270,2018-12-06 18:00:00,5.732488839815807,44.8,0.87204265982554
271,2018-12-06 17:00:00,4.901426511289083,45.2,0.8915613603697106
272,2018-12-06 16:00:00,4.427068945054037,44.5,0.9005153046055272
273,2018-12-06 15:00:00,4.868477860033722,43.4,0.8878230907826331
274,2018-12-06 14:00:00,4.638302347368735,42.3,0.8903474622371457
275,2018-12-06 13:00:00,9.32382594199328,40.9,0.7720335955502866
276,2018-12-06 12:00:00,5.250609784334001,43.3,0.8787388040569514
277,2018-12-06 11:00:00,5.848917869450592,43.6,0.8658505075814084
278,2018-12-06 10:00:00,5.703553392773145,42.7,0.8664273210123385
279,2018-12-06 09:00:00,5.40678564675311,44.8,0.8793128203849753
280,2018-12-06 08:00:00,5.8424345919445715,44.0,0.8672173956376233
281,2018-12-06 07:00:00,7.437448007471304,43.8,0.8301952509709748
282,2018-12-06 06:00:00,8.059024386772771,42.5,0.8103758967818172
283,2018-12-06 05:00:00,6.568988100456928,42.3,0.8447047730388433
284,2018-12-06 04:00:00,7.900913558888483,42.0,0.8118830105026552
285,2018-12-06 03:00:00,12.933372005544925,45.1,0.7132290020943476
286,2018-12-06 02:00:00,37.021324506403914,52.5,0.29483191416373494
287,2018-12-06 01:00:00,52.955286118827246,59.6,0.1114884879391402
288,2018-12-06 00:00:00,53.12365671286037,60.3,0.11901066811176834
289,2018-12-05 23:00:00,50.69554700075418,62.2,0.18495905143482028
290,2018-12-05 22:00:00,68.50456336850766,64.9,0.05554026761953244
291,2018-12-05 21:00:00,71.90116198135883,64.4,0.11647767051799408
