,时间,千灵山,千灵山_root,相对偏差
420,2018-11-30 12:00:00,87.20503408429732,66.7,0.3074218003642777
421,2018-11-30 11:00:00,87.40604013577678,110.4,0.2082786219585437
422,2018-11-30 10:00:00,93.55028053101455,120.1,0.22106344270595707
423,2018-11-30 09:00:00,92.97623434577038,115.2,0.1929146324151877
424,2018-11-30 08:00:00,86.25061504785134,116.6,0.2602863203443281
425,2018-11-30 07:00:00,83.09545185626462,118.4,0.29818030526803535
426,2018-11-30 06:00:00,80.77738998921114,113.8,0.2901811073004293
427,2018-11-30 05:00:00,78.61248955595656,111.1,0.29241683567995896
428,2018-11-30 04:00:00,78.8086651330795,106.8,0.2620911504393305
429,2018-11-30 03:00:00,78.67535336853865,122.1,0.35564821155987997
430,2018-11-30 02:00:00,75.61792147202414,115.6,0.34586573121086384
431,2018-11-30 01:00:00,72.84305982833686,101.1,0.27949495718756806
432,2018-11-30 00:00:00,68.28009934758708,61.1,0.11751390094250541
436,2018-11-29 20:00:00,59.60088054721106,116.6,0.48884322000676617
437,2018-11-29 19:00:00,61.607917882941614,34.4,0.7909278454343494
439,2018-11-29 17:00:00,59.364697203200805,55.8,0.06388346242295355
440,2018-11-29 16:00:00,62.5909863062868,99.2,0.36904247675114116
441,2018-11-29 15:00:00,63.21797919576596,105.8,0.4024765671477697
442,2018-11-29 14:00:00,56.14549615357865,89.1,0.3698597513627536
443,2018-11-29 13:00:00,49.222019918188295,44.8,0.0987058017452745
444,2018-11-29 12:00:00,48.52449579180197,64.8,0.25116518839811774
445,2018-11-29 11:00:00,54.18134800758817,72.8,0.25575071418148115
446,2018-11-29 10:00:00,39.53879512071423,71.2,0.4446798438101935
447,2018-11-29 09:00:00,35.542182086425,62.3,0.42949948496910106
448,2018-11-29 08:00:00,40.10848171525869,32.3,0.24174865991512987
464,2018-11-28 16:00:00,57.82055692975874,81.0,0.28616596383013904
465,2018-11-28 15:00:00,56.80647433341201,84.3,0.3261390945028231
466,2018-11-28 14:00:00,57.53306440152535,77.0,0.2528173454347357
467,2018-11-28 13:00:00,59.20754268253695,71.8,0.17538241389224296
468,2018-11-28 12:00:00,55.15780780198418,73.2,0.24647803549201946
469,2018-11-28 11:00:00,57.74560037221649,75.2,0.2321063780290361
470,2018-11-28 10:00:00,46.604564895305856,61.4,0.24096799844778735
471,2018-11-28 09:00:00,41.594730898627084,67.9,0.3874119160732389
472,2018-11-28 08:00:00,41.515245086385804,39.4,0.05368642351233008
480,2018-11-28 00:00:00,48.17002060946371,40.7,0.18353858991311325
481,2018-11-27 23:00:00,45.57275806105828,51.2,0.10990706911995551
482,2018-11-27 22:00:00,36.69644145431001,66.8,0.45065207403727525
483,2018-11-27 21:00:00,39.82690138972661,74.6,0.46612732721546096
484,2018-11-27 20:00:00,42.00237202970791,79.7,0.4729940774189723
485,2018-11-27 19:00:00,49.85679406126994,88.8,0.43854961642714035
486,2018-11-27 18:00:00,53.76004052919052,85.9,0.37415552352513953
487,2018-11-27 17:00:00,44.3079188265176,68.1,0.34936976759886046
488,2018-11-27 16:00:00,36.63280281751763,57.8,0.36621448412599256
489,2018-11-27 15:00:00,45.22951500982977,64.2,0.29549042040763607
490,2018-11-27 14:00:00,35.4260594343871,59.3,0.4025959623206222
491,2018-11-27 13:00:00,28.60725803782198,54.9,0.4789206186189075
492,2018-11-27 12:00:00,32.701765853635365,59.2,0.44760530652642966
493,2018-11-27 11:00:00,28.074479610716747,53.4,0.4742606814472519
