,时间,宛平地区,宛平地区_root,相对偏差
473,2018-11-28 07:00:00,62.262466711688496,38.6,0.6130172723235361
474,2018-11-28 06:00:00,75.8239042061474,42.4,0.7882996275034766
475,2018-11-28 05:00:00,81.72296462415216,45.2,0.8080301907998263
476,2018-11-28 04:00:00,82.83647164858188,50.3,0.6468483429141527
477,2018-11-28 03:00:00,79.14242674204769,49.2,0.6085859093912132
478,2018-11-28 02:00:00,77.34640786504768,46.4,0.6669484453674069
479,2018-11-28 01:00:00,70.52518820399173,43.9,0.6064963144417251
480,2018-11-28 00:00:00,69.81542880179919,40.8,0.7111624706323331
481,2018-11-27 23:00:00,65.19601236325792,42.9,0.51972056790811
482,2018-11-27 22:00:00,62.83077158688729,38.5,0.6319680931659035
483,2018-11-27 21:00:00,59.79936627848081,35.0,0.7085533222423089
503,2018-11-27 01:00:00,161.05656833641473,71.7,1.2462561832135945
504,2018-11-27 00:00:00,271.814806788512,257.0,0.05764516260121396
505,2018-11-26 23:00:00,296.1276083617696,312.6,0.05269479090924638
506,2018-11-26 22:00:00,334.95632078819233,345.8,0.03135823947891175
507,2018-11-26 21:00:00,346.36741815065375,344.4,0.00571259625625369
508,2018-11-26 20:00:00,319.25783394487576,313.7,0.01771703520840219
509,2018-11-26 19:00:00,305.06127594103236,285.2,0.06963981746505041
510,2018-11-26 18:00:00,264.6357649521101,213.4,0.24009261926949432
511,2018-11-26 17:00:00,204.32000941527917,172.1,0.18721678916489937
512,2018-11-26 16:00:00,212.37010108591957,169.6,0.2521821997990541
513,2018-11-26 15:00:00,204.2200443854664,173.3,0.17841918283592834
514,2018-11-26 14:00:00,197.2208259234326,166.4,0.18522130963601327
515,2018-11-26 13:00:00,251.95265632332627,213.0,0.18287632076678997
516,2018-11-26 12:00:00,237.25443084641626,217.4,0.09132672882436177
517,2018-11-26 11:00:00,226.7143666212762,198.3,0.14328979637557338
518,2018-11-26 10:00:00,223.92338854262067,202.9,0.10361453199911615
519,2018-11-26 09:00:00,179.3957673402962,159.2,0.1268578350521119
520,2018-11-26 08:00:00,151.31415804138368,127.9,0.18306613011246028
521,2018-11-26 07:00:00,142.56127572924777,113.6,0.2549408074757727
522,2018-11-26 06:00:00,115.53613049845283,91.5,0.2626899508027632
523,2018-11-26 05:00:00,95.47338724762257,75.2,0.2695929155268958
524,2018-11-26 04:00:00,95.51478713105853,80.4,0.1879948648141607
525,2018-11-26 03:00:00,112.87882801651311,95.7,0.1795070848120492
526,2018-11-26 02:00:00,137.2403465138649,125.3,0.09529406635167514
527,2018-11-26 01:00:00,163.40252544449086,147.4,0.10856530152300445
528,2018-11-26 00:00:00,156.47785217289857,134.9,0.1599544267820501
529,2018-11-25 23:00:00,146.78732431601753,120.4,0.21916382322273692
530,2018-11-25 22:00:00,143.57532683229726,117.1,0.22609160403328157
531,2018-11-25 21:00:00,140.895327398068,114.6,0.2294531186567888
532,2018-11-25 20:00:00,127.68919417407592,102.2,0.24940503105749431
533,2018-11-25 19:00:00,118.7558473178357,91.0,0.30500931118500774
534,2018-11-25 18:00:00,97.83897983222555,72.5,0.3495031700996627
535,2018-11-25 17:00:00,83.43828400090418,72.4,0.15246248620033384
536,2018-11-25 16:00:00,80.3518370481882,74.1,0.08437027055584626
537,2018-11-25 15:00:00,81.10912040528576,67.6,0.1998390592497895
538,2018-11-25 14:00:00,82.28625212604337,71.7,0.1476464731665741
539,2018-11-25 13:00:00,96.54921836867163,86.7,0.11360113458675465
540,2018-11-25 12:00:00,117.49369998130912,102.2,0.14964481390713422
541,2018-11-25 11:00:00,136.1654199067475,111.0,0.2267154946553829
542,2018-11-25 10:00:00,126.2398783734761,100.0,0.262398783734761
543,2018-11-25 09:00:00,120.08724866949748,89.6,0.3402594717577845
544,2018-11-25 08:00:00,106.74884514552946,92.4,0.15529053187802436
545,2018-11-25 07:00:00,127.44849083159099,110.4,0.15442473579339658
546,2018-11-25 06:00:00,137.01964338064522,115.3,0.18837505100299415
547,2018-11-25 05:00:00,136.21043648595122,112.5,0.21075943543067752
548,2018-11-25 04:00:00,125.05799351779999,95.8,0.3054070304572024
549,2018-11-25 03:00:00,107.72679051832715,82.2,0.31054489681663194
550,2018-11-25 02:00:00,100.40185460000262,83.2,0.20675306009618533
551,2018-11-25 01:00:00,116.67006002717042,115.1,0.013640834293400761
552,2018-11-25 00:00:00,155.40082536705808,161.0,0.03477748219218586
553,2018-11-24 23:00:00,194.83732608389698,200.3,0.02727246088918137
554,2018-11-24 22:00:00,214.81315659722355,208.8,0.0287986427070093
555,2018-11-24 21:00:00,209.94130070251293,208.3,0.00787950409271686
556,2018-11-24 20:00:00,195.17454602249467,187.4,0.04148637151811452
557,2018-11-24 19:00:00,188.20145368305901,176.9,0.06388611465833244
558,2018-11-24 18:00:00,172.2682863785437,165.4,0.0415253106320659
559,2018-11-24 17:00:00,144.66369487812943,131.2,0.10261962559549882
560,2018-11-24 16:00:00,127.47463213985598,119.5,0.06673332334607518
561,2018-11-24 15:00:00,134.4590666753102,133.5,0.007184020039776757
562,2018-11-24 14:00:00,114.89653554368324,102.4,0.12203647991878161
563,2018-11-24 13:00:00,127.19961076912602,110.7,0.149047974427516
564,2018-11-24 12:00:00,105.41925745793408,100.6,0.04790514371703863
565,2018-11-24 11:00:00,97.10686362060024,77.7,0.24976658456370956
566,2018-11-24 10:00:00,81.32796855765665,61.2,0.32888837512510855
567,2018-11-24 09:00:00,89.11636016380525,71.0,0.2551600023071163
568,2018-11-24 08:00:00,80.94184941311657,62.7,0.29093858713104576
569,2018-11-24 07:00:00,83.30213024198949,64.7,0.28751360497665357
570,2018-11-24 06:00:00,80.27891412623077,61.3,0.3096070819939768
571,2018-11-24 05:00:00,81.49074114460706,60.6,0.34473170205622206
572,2018-11-24 04:00:00,74.72783728636361,62.9,0.1880419282410749
573,2018-11-24 03:00:00,118.58329268848564,92.3,0.2847594007419897
574,2018-11-24 02:00:00,130.49444945752327,103.7,0.2583842763502726
575,2018-11-24 01:00:00,124.8686222687081,103.8,0.20297323958292965
576,2018-11-24 00:00:00,133.6352759898852,107.3,0.24543593653201495
577,2018-11-23 23:00:00,140.95945863410208,111.5,0.26421039133723834
578,2018-11-23 22:00:00,129.13037918103015,103.5,0.24763651382637827
579,2018-11-23 21:00:00,128.21951732486235,105.9,0.21076031468236398
580,2018-11-23 20:00:00,141.23100325169517,112.4,0.2565035876485335
