,时间,小瓦窑村,小瓦窑村_root,相对偏差
288,2018-12-06 00:00:00,65.08402975640954,40.5,0.6070130804051737
289,2018-12-05 23:00:00,63.40571823023917,40.5,0.565573289635535
290,2018-12-05 22:00:00,58.22701698049889,40.2,0.44843325822136526
291,2018-12-05 21:00:00,62.350635402006695,40.3,0.5471621687842854
292,2018-12-05 20:00:00,57.505701299207246,41.1,0.39916548173253635
293,2018-12-05 19:00:00,56.87970343968503,38.9,0.46220317325668464
294,2018-12-05 18:00:00,53.850604142599266,38.4,0.4023594828801893
295,2018-12-05 17:00:00,59.88586605756782,44.6,0.3427324228154219
296,2018-12-05 16:00:00,58.590563513272144,39.2,0.4946572324814321
297,2018-12-05 15:00:00,48.673770814502234,32.9,0.47944592141344183
298,2018-12-05 14:00:00,42.50758972054476,30.5,0.3936914662473691
357,2018-12-03 03:00:00,99.55693401357591,33.4,1.9807465273525726
358,2018-12-03 02:00:00,113.17061355812294,59.5,0.9020271186239149
359,2018-12-03 01:00:00,179.01415957304016,93.4,0.9166398241224856
360,2018-12-03 00:00:00,218.9511489034381,98.7,1.2183500395485116
361,2018-12-02 23:00:00,223.24393224981858,99.0,1.2549892146446322
363,2018-12-02 21:00:00,204.83768017742386,113.2,0.8095201429101048
364,2018-12-02 20:00:00,199.71747144147307,108.5,0.840714022502056
365,2018-12-02 19:00:00,197.87960051766308,103.2,0.9174379895122391
366,2018-12-02 18:00:00,206.36052170531858,102.1,1.0211608394252556
367,2018-12-02 17:00:00,243.96348029690682,107.4,1.2715407848874005
368,2018-12-02 16:00:00,243.55721628687232,112.2,1.1707416781361168
369,2018-12-02 15:00:00,218.55946055191018,115.8,0.8873873968213315
370,2018-12-02 14:00:00,186.9307249983763,113.8,0.642624999985732
371,2018-12-02 13:00:00,173.33747861795294,114.8,0.5099083503306006
372,2018-12-02 12:00:00,167.04078624292774,116.4,0.4350583010560801
373,2018-12-02 11:00:00,169.24313326175306,121.8,0.38951669344624845
374,2018-12-02 10:00:00,175.18736734199442,123.6,0.4173735221844209
375,2018-12-02 09:00:00,183.67505456627862,127.0,0.4462602721754222
376,2018-12-02 08:00:00,180.32429416577847,127.2,0.4176438220580068
377,2018-12-02 07:00:00,176.9773627929052,129.4,0.3676766830981855
378,2018-12-02 06:00:00,177.41837804269667,130.8,0.35640961806343013
379,2018-12-02 05:00:00,179.68531741929323,129.9,0.3832587946057985
380,2018-12-02 04:00:00,204.8546625151378,121.4,0.6874354408166209
381,2018-12-02 03:00:00,174.33952778943944,125.2,0.392488241129708
382,2018-12-02 02:00:00,221.75599620675473,129.6,0.7110802176447125
383,2018-12-02 01:00:00,187.21285202303645,128.4,0.4580440188710003
384,2018-12-02 00:00:00,186.21303843333803,123.6,0.5065779808522495
385,2018-12-01 23:00:00,185.72904859919598,123.5,0.5038789360258784
386,2018-12-01 22:00:00,193.1542636809429,124.5,0.5514398689232362
387,2018-12-01 21:00:00,206.8450478367059,134.2,0.5413192834329801
388,2018-12-01 20:00:00,201.0351832075547,130.9,0.5357920795076753
389,2018-12-01 19:00:00,204.4612376888351,134.4,0.5212889708990706
390,2018-12-01 18:00:00,204.64174469534885,136.8,0.495919186369509
391,2018-12-01 17:00:00,192.58477621461952,131.8,0.4611895008696473
392,2018-12-01 16:00:00,160.5032023975171,109.5,0.4657826702969598
393,2018-12-01 15:00:00,155.73611359198046,107.1,0.4541187076748876
394,2018-12-01 14:00:00,155.59116222063335,109.1,0.4261334758994808
395,2018-12-01 13:00:00,146.73994183783222,103.4,0.41914837367342567
396,2018-12-01 12:00:00,136.66005765844633,96.9,0.4103205124710663
397,2018-12-01 11:00:00,85.1310316508935,68.2,0.2482555960541569
398,2018-12-01 10:00:00,63.06976526888079,53.1,0.18775452483767968
399,2018-12-01 09:00:00,59.492155775909346,55.2,0.07775644521574897
400,2018-12-01 08:00:00,68.08562408230131,55.7,0.22236308944885647
401,2018-12-01 07:00:00,67.90967461992362,55.6,0.2213970255381946
402,2018-12-01 06:00:00,69.07366747832305,54.8,0.2604683846409315
403,2018-12-01 05:00:00,72.71471454180181,60.6,0.19991278121785164
404,2018-12-01 04:00:00,85.1811004266392,67.7,0.2582141865087031
405,2018-12-01 03:00:00,87.30313210463316,65.6,0.3308404284242861
406,2018-12-01 02:00:00,86.97548572098414,69.5,0.251445837712002
407,2018-12-01 01:00:00,92.22731495040789,74.9,0.23133931843001176
408,2018-12-01 00:00:00,114.03570791515462,76.8,0.4848399468119091
409,2018-11-30 23:00:00,124.84926158003096,81.5,0.5318927801230792
410,2018-11-30 22:00:00,136.81621603100726,88.3,0.5494475201699577
411,2018-11-30 21:00:00,145.8592408818902,89.8,0.6242677158339667
412,2018-11-30 20:00:00,145.44248648048355,92.3,0.5757582500594102
413,2018-11-30 19:00:00,147.65314365632221,92.7,0.5928062961847056
414,2018-11-30 18:00:00,147.17458361705297,86.8,0.6955597190904721
415,2018-11-30 17:00:00,140.1937993194658,82.7,0.6952091816138548
416,2018-11-30 16:00:00,132.1285574555475,75.1,0.7593682750405795
417,2018-11-30 15:00:00,126.47917655568055,71.8,0.7615484199955509
418,2018-11-30 14:00:00,120.26921848505133,68.6,0.7531956047383577
419,2018-11-30 13:00:00,111.82018516600685,65.6,0.7045759933842509
420,2018-11-30 12:00:00,93.41914062230491,58.1,0.6079025924665217
421,2018-11-30 11:00:00,84.98970297374335,54.2,0.568075700622571
422,2018-11-30 10:00:00,86.26690030092517,53.1,0.6246120583978375
423,2018-11-30 09:00:00,78.12222063615495,53.4,0.4629629332613287
424,2018-11-30 08:00:00,78.01178806841612,53.0,0.47192052959275704
425,2018-11-30 07:00:00,81.33204520636991,52.8,0.5403796440600362
426,2018-11-30 06:00:00,81.76708957119384,54.4,0.5030714994704749
427,2018-11-30 05:00:00,80.22761880715835,53.7,0.49399662583162657
428,2018-11-30 04:00:00,80.9156362184139,52.6,0.5383200801979827
429,2018-11-30 03:00:00,77.28030818440207,51.1,0.512334798129199
430,2018-11-30 02:00:00,76.63365703097104,55.2,0.38829088824222885
431,2018-11-30 01:00:00,79.79710431180085,59.2,0.34792405932096027
432,2018-11-30 00:00:00,82.09720996543668,59.5,0.3797850414359105
433,2018-11-29 23:00:00,79.18038165653734,57.4,0.37944915777939614
434,2018-11-29 22:00:00,76.71167153783016,55.3,0.38719116704937
435,2018-11-29 21:00:00,73.09992626173907,54.8,0.33394026025071305
436,2018-11-29 20:00:00,66.84466215332276,52.6,0.2708110675536646
437,2018-11-29 19:00:00,64.663843287811,49.8,0.2984707487512251
438,2018-11-29 18:00:00,65.76538408730211,49.2,0.33669479852240053
439,2018-11-29 17:00:00,69.90943377309513,49.7,0.40662844613873494
440,2018-11-29 16:00:00,71.72808673517785,48.6,0.47588655833699284
441,2018-11-29 15:00:00,61.74076780373078,44.8,0.37814213847613365
442,2018-11-29 14:00:00,58.55398042252032,41.3,0.41777192306344607
443,2018-11-29 13:00:00,50.79934455158373,41.3,0.23000834265335915
444,2018-11-29 12:00:00,47.51195931646212,36.8,0.2910858509908185
445,2018-11-29 11:00:00,49.26047413279089,36.3,0.35703785489782075
446,2018-11-29 10:00:00,55.32622119965193,37.7,0.46753902386344637
447,2018-11-29 09:00:00,55.301370487186986,43.7,0.2654775855191529
448,2018-11-29 08:00:00,53.31059630686944,44.0,0.21160446151976006
449,2018-11-29 07:00:00,52.32075336475519,39.7,0.3179031074245639
450,2018-11-29 06:00:00,52.75546296779847,40.7,0.2962030213218297
451,2018-11-29 05:00:00,57.985491806440436,43.0,0.3484998094521032
452,2018-11-29 04:00:00,61.22604018584195,46.3,0.3223766778799559
453,2018-11-29 03:00:00,66.42713011308823,45.3,0.46638256320283067
454,2018-11-29 02:00:00,65.11149118498756,44.8,0.45338149966490093
455,2018-11-29 01:00:00,62.44735233898932,46.8,0.3343451354484898
456,2018-11-29 00:00:00,65.79242738406242,48.7,0.35097386825590177
457,2018-11-28 23:00:00,63.92631685260644,46.4,0.37772234596134574
458,2018-11-28 22:00:00,64.95298295161463,48.1,0.350373865937934
459,2018-11-28 21:00:00,66.73698110996278,46.6,0.43212405815370775
460,2018-11-28 20:00:00,64.74102316765331,44.2,0.4647290309423825
461,2018-11-28 19:00:00,61.55946231800992,43.4,0.41842079073755584
462,2018-11-28 18:00:00,58.57161713460878,41.2,0.42164119258759164
463,2018-11-28 17:00:00,56.36769469714043,40.8,0.3815611445377557
464,2018-11-28 16:00:00,55.48407518716034,39.6,0.4011130097767763
465,2018-11-28 15:00:00,54.28878638059005,39.1,0.3884600097337607
466,2018-11-28 14:00:00,53.705180537110856,38.2,0.4058947784583993
467,2018-11-28 13:00:00,50.7557604051166,36.4,0.3943890221185879
468,2018-11-28 12:00:00,50.27737611949761,35.5,0.4162641160421862
469,2018-11-28 11:00:00,45.84166785360587,36.6,0.25250458616409477
476,2018-11-28 04:00:00,46.74999224985037,44.1,0.0600905272074914
477,2018-11-28 03:00:00,58.391903418700416,41.0,0.4241927663097662
478,2018-11-28 02:00:00,52.472466482623204,40.0,0.3118116620655801
479,2018-11-28 01:00:00,50.63296212958009,36.1,0.40257512824321584
480,2018-11-28 00:00:00,46.421959917914855,33.0,0.40672605811863194
503,2018-11-27 01:00:00,114.67934218857133,61.3,0.8707886164530396
504,2018-11-27 00:00:00,264.33262809902004,161.6,0.6357217085335399
505,2018-11-26 23:00:00,287.6590845384197,164.4,0.74975112249647
506,2018-11-26 22:00:00,285.6483530518623,182.8,0.5626277519248483
507,2018-11-26 21:00:00,311.74729819079073,183.6,0.6979700337189038
508,2018-11-26 20:00:00,304.72763822274385,175.2,0.7393130035544742
509,2018-11-26 19:00:00,260.77824573130874,145.3,0.7947573691074241
510,2018-11-26 18:00:00,218.60046064920107,121.4,0.8006627730576693
511,2018-11-26 17:00:00,224.7428646829127,119.6,0.8791209421648221
512,2018-11-26 16:00:00,227.97647414875019,122.3,0.8640758311426835
513,2018-11-26 15:00:00,214.22307536229945,119.0,0.8001939106075584
