,时间,长辛店镇,长辛店镇_root,相对偏差
170,2018-12-10 22:00:00,64.50292329093942,53.8,0.19893909462712686
171,2018-12-10 21:00:00,67.90962973138166,50.4,0.34741328832106466
172,2018-12-10 20:00:00,68.57163764052206,50.2,0.3659688773012361
174,2018-12-10 18:00:00,62.48814672840935,49.5,0.2623868025941282
175,2018-12-10 17:00:00,57.45717066890089,48.8,0.1774010382971495
176,2018-12-10 16:00:00,54.25718476693771,49.5,0.09610474276641842
177,2018-12-10 15:00:00,56.0337171502307,52.5,0.06730889809963238
178,2018-12-10 14:00:00,59.15286825630628,53.0,0.11609185389257128
179,2018-12-10 13:00:00,60.75693855248686,55.0,0.1046716100452156
180,2018-12-10 12:00:00,61.414213742159674,49.9,0.2307457663759454
181,2018-12-10 11:00:00,60.88586433131063,47.1,0.29269351021890927
