,时间,长辛店街道,长辛店街道_root,相对偏差
196,2018-12-09 20:00:00,112.05907825321417,57.2,0.9590747946366113
197,2018-12-09 19:00:00,110.71427022220394,54.9,1.0166533738106365
198,2018-12-09 18:00:00,79.84334541277876,52.4,0.5237279658927244
199,2018-12-09 17:00:00,54.84166018910241,42.4,0.2934353818184532
200,2018-12-09 16:00:00,56.440470091886624,41.4,0.3632963790310779
201,2018-12-09 15:00:00,57.80531563456463,42.0,0.37631703891820545
202,2018-12-09 14:00:00,45.16379442527521,33.3,0.35627010286111765
203,2018-12-09 13:00:00,43.57803198635818,32.6,0.33674944743429985
288,2018-12-06 00:00:00,56.522089987053356,30.0,0.8840696662351119
291,2018-12-05 21:00:00,66.16258374984403,35.8,0.8481168645207832
292,2018-12-05 20:00:00,66.49240441358698,36.7,0.8117821366099993
293,2018-12-05 19:00:00,68.71463559485015,38.6,0.7801719066023355
294,2018-12-05 18:00:00,60.02643514239936,37.1,0.6179632113854273
295,2018-12-05 17:00:00,60.37081052742419,36.6,0.6494756974706062
296,2018-12-05 16:00:00,59.42586995010305,35.1,0.6930447279231637
297,2018-12-05 15:00:00,53.578309844634056,32.7,0.6384804233833044
357,2018-12-03 03:00:00,117.46477613447246,35.6,2.299572363327878
358,2018-12-03 02:00:00,169.1866822416499,54.6,2.0986571839130015
359,2018-12-03 01:00:00,201.546315820092,69.2,1.9125190147412139
360,2018-12-03 00:00:00,214.62272050756357,69.0,2.1104742102545444
361,2018-12-02 23:00:00,194.50243037948337,70.0,1.778606148278334
363,2018-12-02 21:00:00,214.69332075361004,85.4,1.5139733109322018
364,2018-12-02 20:00:00,224.05376423338558,81.2,1.7592828107559797
365,2018-12-02 19:00:00,229.42678138670874,78.5,1.922634157792468
366,2018-12-02 18:00:00,246.39743738458685,79.8,2.0876871852705117
367,2018-12-02 17:00:00,238.754843922346,87.8,1.7193034615301368
368,2018-12-02 16:00:00,239.35915466189806,89.2,1.6833985948643282
369,2018-12-02 15:00:00,231.45381878342445,90.4,1.560329853798943
370,2018-12-02 14:00:00,211.15638114277897,90.0,1.3461820126975441
371,2018-12-02 13:00:00,198.77628426833743,90.9,1.186757802731985
372,2018-12-02 12:00:00,170.3602534160696,89.7,0.899222446110029
373,2018-12-02 11:00:00,181.13275392671554,90.0,1.0125861547412838
374,2018-12-02 10:00:00,193.59062222947418,95.0,1.0377960234681491
375,2018-12-02 09:00:00,202.70097844238782,95.4,1.1247482017021784
376,2018-12-02 08:00:00,209.951504274857,93.2,1.2526985437216416
377,2018-12-02 07:00:00,208.44922031224212,91.3,1.2831239902764746
378,2018-12-02 06:00:00,221.03357750151864,91.8,1.4077731753978067
379,2018-12-02 05:00:00,213.20449772362022,95.1,1.2418979781663537
380,2018-12-02 04:00:00,244.05933066546484,88.7,1.7515144381675853
381,2018-12-02 03:00:00,214.5064573115924,87.3,1.4571186404535215
382,2018-12-02 02:00:00,246.02591564519858,91.7,1.682943463960726
383,2018-12-02 01:00:00,234.0450212453687,90.9,1.5747527089699525
384,2018-12-02 00:00:00,231.66287752510627,92.0,1.5180747557076768
385,2018-12-01 23:00:00,223.59084779129793,94.0,1.3786260403329567
386,2018-12-01 22:00:00,217.3835345174551,95.1,1.2858415827282346
387,2018-12-01 21:00:00,226.44302039414563,99.4,1.278098796721787
388,2018-12-01 20:00:00,235.8071283574991,100.7,1.3416795268867836
389,2018-12-01 19:00:00,225.86460872746702,97.8,1.3094540769679657
390,2018-12-01 18:00:00,222.98850108820406,91.3,1.442371315314393
391,2018-12-01 17:00:00,215.58758794685113,93.0,1.3181461069553886
392,2018-12-01 16:00:00,197.28872677718005,87.7,1.249586394266591
393,2018-12-01 15:00:00,174.48929097968576,80.6,1.1648795406908905
394,2018-12-01 14:00:00,166.46883826833405,80.7,1.062810883126816
395,2018-12-01 13:00:00,157.49438769601826,76.9,1.0480414524839825
396,2018-12-01 12:00:00,144.33033679194162,67.0,1.1541841312230092
397,2018-12-01 11:00:00,90.32830492304826,49.8,0.8138213839969533
398,2018-12-01 10:00:00,80.34225726752483,48.6,0.6531328655869306
399,2018-12-01 09:00:00,80.01393628372948,48.0,0.6669570059110308
400,2018-12-01 08:00:00,81.08316450845187,50.2,0.6152024802480451
401,2018-12-01 07:00:00,81.19049816893049,50.6,0.6045552997812349
402,2018-12-01 06:00:00,77.55127655289512,48.5,0.5989953928431984
403,2018-12-01 05:00:00,76.538344864466,49.2,0.5556574159444307
404,2018-12-01 04:00:00,91.32562521278778,62.1,0.4706219841028628
405,2018-12-01 03:00:00,96.14904823003071,54.9,0.7513487837892663
406,2018-12-01 02:00:00,105.8172233369141,56.1,0.8862250149182548
407,2018-12-01 01:00:00,114.10391529892014,56.9,1.005341217907208
408,2018-12-01 00:00:00,118.82639970286068,58.6,1.0277542611409674
409,2018-11-30 23:00:00,127.07411078855144,61.7,1.0595479868484834
