,时间,太平桥街道,太平桥街道_root,相对偏差
87,2018-12-14 09:00:00,27.932763682241628,33.0,0.15355261568964762
88,2018-12-14 08:00:00,25.724462375592807,34.2,0.24782273755576592
90,2018-12-14 06:00:00,27.883678808824627,34.0,0.17989179974045216
91,2018-12-14 05:00:00,38.67145724358571,48.7,0.2059249025957761
92,2018-12-14 04:00:00,45.111972238775834,49.1,0.08122256132839444
93,2018-12-14 03:00:00,46.59400396576422,47.4,0.017004135743370792
94,2018-12-14 02:00:00,42.07515006807723,39.9,0.054515039300181194
95,2018-12-14 01:00:00,29.254311244351914,31.7,0.07715106484694274
119,2018-12-13 01:00:00,36.23881796667326,44.2,0.18011724057300324
120,2018-12-13 00:00:00,46.91261916812468,50.9,0.07833754090128331
121,2018-12-12 23:00:00,60.33143412244764,60.0,0.0055239020407939895
122,2018-12-12 22:00:00,69.51456731382551,68.8,0.010386152817231278
123,2018-12-12 21:00:00,78.88886585398679,80.0,0.013889176825165172
124,2018-12-12 20:00:00,64.03265225438525,79.6,0.1955696952966676
125,2018-12-12 19:00:00,47.456811091343134,54.6,0.13082763568968622
126,2018-12-12 18:00:00,29.24992025986587,45.7,0.3599579811845543
127,2018-12-12 17:00:00,37.38822307727711,47.2,0.20787662971870532
128,2018-12-12 16:00:00,35.68505420081975,47.3,0.24555910780507925
129,2018-12-12 15:00:00,32.469502722933065,43.4,0.2518547759692842
134,2018-12-12 10:00:00,27.440231042184777,39.5,0.3053106065269677
135,2018-12-12 09:00:00,30.301815631274415,34.5,0.1216865034413213
136,2018-12-12 08:00:00,29.46438274842729,32.0,0.07923803911164717
137,2018-12-12 07:00:00,28.127841816425477,31.0,0.09265026398627495
138,2018-12-12 06:00:00,30.769642624877726,40.2,0.23458600435627552
139,2018-12-12 05:00:00,32.975044699762876,41.2,0.19963483738439627
140,2018-12-12 04:00:00,31.411910609096147,38.5,0.18410621794555462
141,2018-12-12 03:00:00,28.72014989405268,36.4,0.21098489302053078
142,2018-12-12 02:00:00,24.119311221752398,30.7,0.21435468333054078
163,2018-12-11 05:00:00,38.22647611329256,49.5,0.22774795730722094
164,2018-12-11 04:00:00,66.31165737072261,71.5,0.0725642325773061
165,2018-12-11 03:00:00,70.43064086891026,83.7,0.158534756643844
166,2018-12-11 02:00:00,68.45684396871107,83.8,0.18309255407266023
167,2018-12-11 01:00:00,79.38667267004148,83.9,0.05379412788985135
168,2018-12-11 00:00:00,86.79809623477254,87.3,0.005749184023223979
169,2018-12-10 23:00:00,93.8945314461312,91.4,0.02729246658786861
170,2018-12-10 22:00:00,87.09178594258647,79.2,0.09964376190134426
171,2018-12-10 21:00:00,78.3213771727897,66.3,0.1813179060752594
172,2018-12-10 20:00:00,60.72568533714738,66.5,0.08683179944139274
174,2018-12-10 18:00:00,61.013099271928695,66.4,0.08112802301312214
175,2018-12-10 17:00:00,61.824274611706805,68.8,0.10139135738798244
176,2018-12-10 16:00:00,62.67545984864265,71.5,0.12342014197702583
177,2018-12-10 15:00:00,61.49260981985485,69.7,0.11775308723307251
178,2018-12-10 14:00:00,62.077223109683736,68.6,0.09508421122909999
179,2018-12-10 13:00:00,63.24620640699645,69.5,0.08998264162595036
180,2018-12-10 12:00:00,63.30089259079275,67.8,0.0663585163599889
181,2018-12-10 11:00:00,57.30668526590651,64.4,0.11014463872815987
182,2018-12-10 10:00:00,46.81837990171366,59.8,0.21708394813187853
183,2018-12-10 09:00:00,46.07828494073723,60.0,0.23202858432104623
184,2018-12-10 08:00:00,47.753871939819845,60.8,0.21457447467401566
185,2018-12-10 07:00:00,47.4826961090184,60.0,0.20862173151636002
186,2018-12-10 06:00:00,45.52904025762896,58.6,0.22305392051827722
187,2018-12-10 05:00:00,52.50046226372968,62.9,0.16533446321574433
188,2018-12-10 04:00:00,50.45025496401694,59.3,0.14923684714979857
189,2018-12-10 03:00:00,52.7313786638532,58.6,0.10014712177724917
190,2018-12-10 02:00:00,50.83702840871023,57.4,0.11433748416881127
191,2018-12-10 01:00:00,55.65185818684308,57.1,0.025361502857389192
192,2018-12-10 00:00:00,90.02567372962363,100.8,0.10688815744420996
193,2018-12-09 23:00:00,98.83459530367854,108.9,0.09242795864390693
194,2018-12-09 22:00:00,105.01360058250049,114.0,0.0788280650657852
195,2018-12-09 21:00:00,88.75301271501597,107.3,0.17285169883489307
196,2018-12-09 20:00:00,92.656365010653,105.3,0.12007250702133897
197,2018-12-09 19:00:00,100.33216062425232,115.9,0.1343213060892811
198,2018-12-09 18:00:00,80.65464504442372,93.8,0.14014237692512027
199,2018-12-09 17:00:00,71.48728650561198,75.8,0.05689595639034328
200,2018-12-09 16:00:00,79.35162323269213,94.7,0.16207367230525732
201,2018-12-09 15:00:00,59.09435128269616,65.4,0.09641664705357562
202,2018-12-09 14:00:00,48.30545851814054,52.4,0.07814010461563853
203,2018-12-09 13:00:00,32.35339132417587,40.4,0.19917348207485475
204,2018-12-09 12:00:00,24.639041574805905,33.4,0.26230414446688904
205,2018-12-09 11:00:00,21.841335765484633,31.8,0.3131655419658921
206,2018-12-09 10:00:00,19.822590239764313,48.5,0.5912867991801173
207,2018-12-09 09:00:00,23.48686324896047,61.6,0.6187197524519404
208,2018-12-09 08:00:00,20.607520327068556,54.0,0.6183792532024341
209,2018-12-09 07:00:00,23.604846567910382,58.8,0.5985570311579866
210,2018-12-09 06:00:00,24.72271543707012,59.3,0.5830908020730164
211,2018-12-09 05:00:00,30.00518649721551,61.5,0.5121107886631624
212,2018-12-09 04:00:00,26.770705362048467,61.8,0.5668170653390215
213,2018-12-09 03:00:00,26.249400957277665,62.6,0.5806804958901332
214,2018-12-09 02:00:00,26.78296621932285,62.7,0.5728394542372751
215,2018-12-09 01:00:00,21.81420844843952,62.1,0.6487245016354344
217,2018-12-08 23:00:00,41.56983359515283,50.9,0.18330385864139823
218,2018-12-08 22:00:00,18.542912730478537,45.1,0.5888489416745335
219,2018-12-08 21:00:00,15.826002795928774,39.6,0.6003534647492734
220,2018-12-08 20:00:00,15.61789063784976,38.2,0.5911546953442471
221,2018-12-08 19:00:00,13.841263445351748,30.2,0.5416800183658362
286,2018-12-06 02:00:00,35.642557102465794,38.0,0.06203797098774226
287,2018-12-06 01:00:00,46.78941715732299,49.9,0.06233632951256537
288,2018-12-06 00:00:00,51.51619381796413,55.6,0.07344975147546531
289,2018-12-05 23:00:00,52.26437687800726,53.6,0.02491834182822275
290,2018-12-05 22:00:00,51.75485251793842,54.3,0.04687196099560921
291,2018-12-05 21:00:00,59.13076442672908,60.6,0.024244811440114217
292,2018-12-05 20:00:00,59.88629958474695,60.7,0.013405278669737269
293,2018-12-05 19:00:00,58.72247798014186,57.5,0.021260486611162793
294,2018-12-05 18:00:00,61.795644313406456,60.9,0.014706803175803893
295,2018-12-05 17:00:00,59.68677851049039,58.8,0.015081267185210792
296,2018-12-05 16:00:00,58.348224643870964,56.6,0.030887361199133608
297,2018-12-05 15:00:00,53.957026148124804,50.2,0.0748411583291793
298,2018-12-05 14:00:00,55.31472220828081,52.1,0.06170292146412305
299,2018-12-05 13:00:00,54.8664337628398,49.9,0.09952773071823244
300,2018-12-05 12:00:00,44.883949885608956,48.2,0.06879772021558188
301,2018-12-05 11:00:00,43.42135515614866,45.1,0.03722050651555088
302,2018-12-05 10:00:00,42.411252082191446,44.3,0.04263539317852261
304,2018-12-05 08:00:00,42.46162057500126,40.2,0.056259218283613424
305,2018-12-05 07:00:00,38.848064907373534,32.1,0.21022009057238417
306,2018-12-05 06:00:00,35.255711458699196,32.4,0.08813924255244436
307,2018-12-05 05:00:00,34.0775798938265,30.6,0.11364640175903598
351,2018-12-03 09:00:00,69.17989915401299,30.3,1.2831649885812868
352,2018-12-03 08:00:00,80.20389917380328,37.1,1.1618301664097919
353,2018-12-03 07:00:00,78.94118493544339,40.0,0.9735296233860847
354,2018-12-03 06:00:00,91.65478936912507,43.7,1.0973636011241432
355,2018-12-03 05:00:00,97.35524017792211,46.5,1.0936610790950991
356,2018-12-03 04:00:00,107.52203131755275,49.9,1.1547501266042635
357,2018-12-03 03:00:00,108.08650150834164,59.0,0.831974601836299
358,2018-12-03 02:00:00,147.28965954545936,110.5,0.33293809543402136
359,2018-12-03 01:00:00,188.80978071893142,169.9,0.11129947450813076
360,2018-12-03 00:00:00,198.617337414136,179.6,0.10588717936601333
361,2018-12-02 23:00:00,207.41752733717317,180.4,0.14976456395328805
363,2018-12-02 21:00:00,197.68650540474238,181.2,0.09098512916524497
364,2018-12-02 20:00:00,199.14991782605006,186.3,0.06897433078931854
365,2018-12-02 19:00:00,193.88255066523467,183.1,0.05888886218041879
366,2018-12-02 18:00:00,205.41968119869745,186.4,0.1020369163020249
367,2018-12-02 17:00:00,205.28335387658984,212.6,0.03441508054285114
368,2018-12-02 16:00:00,205.26475794773015,219.3,0.06400019175681652
369,2018-12-02 15:00:00,210.32017351280479,225.2,0.06607382987209239
370,2018-12-02 14:00:00,207.6622283099895,225.6,0.0795113993351529
371,2018-12-02 13:00:00,203.52108630127526,225.7,0.09826722950254643
372,2018-12-02 12:00:00,190.10678364264348,218.1,0.12835037302776944
373,2018-12-02 11:00:00,181.71404010939426,216.4,0.16028632112109864
374,2018-12-02 10:00:00,180.7251755374033,225.8,0.1996227832710218
375,2018-12-02 09:00:00,193.09194445307836,234.8,0.1776322638284568
376,2018-12-02 08:00:00,192.12370501345174,221.3,0.13184046537075586
377,2018-12-02 07:00:00,189.30263939104557,212.5,0.10916404992449141
378,2018-12-02 06:00:00,188.33127755793703,218.7,0.1388601849202696
379,2018-12-02 05:00:00,188.78710977657033,192.4,0.01877801571429144
380,2018-12-02 04:00:00,172.4620971715255,165.8,0.040181526969393776
381,2018-12-02 03:00:00,162.22349973601206,168.4,0.03667755501180491
382,2018-12-02 02:00:00,178.37793552296466,188.1,0.05168561657116073
383,2018-12-02 01:00:00,185.09641881967735,185.9,0.004322652933419323
384,2018-12-02 00:00:00,192.2617289028511,193.8,0.007937415361965466
385,2018-12-01 23:00:00,191.91246247047087,196.2,0.02185289260718205
386,2018-12-01 22:00:00,198.68390818291724,200.2,0.00757288619921455
387,2018-12-01 21:00:00,200.1200984452973,206.1,0.02901456358419557
388,2018-12-01 20:00:00,208.97244614817674,216.8,0.036104953191066734
389,2018-12-01 19:00:00,205.70646568571306,208.0,0.011026607280225694
390,2018-12-01 18:00:00,224.7892978482044,221.7,0.013934586595419081
391,2018-12-01 17:00:00,218.30739067273802,213.6,0.022038345846151823
392,2018-12-01 16:00:00,189.99316230108408,184.8,0.028101527603268787
393,2018-12-01 15:00:00,189.8374509829618,191.1,0.006606745248760841
394,2018-12-01 14:00:00,195.71996513061785,203.7,0.039175428912037985
395,2018-12-01 13:00:00,191.73318452804781,192.8,0.0055332752694615996
396,2018-12-01 12:00:00,174.09851749652844,169.3,0.028343281137202792
397,2018-12-01 11:00:00,130.30274115817457,131.2,0.006838863123669353
398,2018-12-01 10:00:00,92.21632843632455,93.3,0.011614914937571833
399,2018-12-01 09:00:00,86.75811078310899,87.6,0.009610607498755763
400,2018-12-01 08:00:00,76.25713865431769,75.3,0.01271100470541419
401,2018-12-01 07:00:00,81.57063965743323,81.6,0.0003598081196907014
402,2018-12-01 06:00:00,90.23555270878235,92.8,0.027634130293293608
403,2018-12-01 05:00:00,98.3864622294131,102.7,0.0420013414857537
404,2018-12-01 04:00:00,102.29537919715284,109.7,0.06749882226843357
405,2018-12-01 03:00:00,108.11900968929072,115.8,0.06632979542926837
406,2018-12-01 02:00:00,114.35948398167298,115.2,0.007296145992422071
407,2018-12-01 01:00:00,116.3613350835669,119.5,0.02626497838019331
408,2018-12-01 00:00:00,120.1593879153076,132.2,0.09107876009600896
409,2018-11-30 23:00:00,142.76569289133135,145.2,0.016765200472924475
410,2018-11-30 22:00:00,143.36351882629742,143.6,0.0016468048307978539
411,2018-11-30 21:00:00,146.94397266221665,149.4,0.016439272675926063
412,2018-11-30 20:00:00,146.474121245272,141.8,0.03296277323887148
413,2018-11-30 19:00:00,143.35879134064544,139.5,0.02766158667129347
414,2018-11-30 18:00:00,140.3565728663997,138.3,0.014870375028197226
415,2018-11-30 17:00:00,137.68671239887146,133.2,0.03368402701855462
416,2018-11-30 16:00:00,132.21683771115363,130.8,0.010832092592917574
417,2018-11-30 15:00:00,126.86458012624594,125.3,0.012486672994780072
418,2018-11-30 14:00:00,122.94132786837167,123.7,0.006133161937173243
419,2018-11-30 13:00:00,113.56297166748183,113.6,0.0003259536313218463
420,2018-11-30 12:00:00,92.77277674550412,89.1,0.04122083889454684
421,2018-11-30 11:00:00,81.21996146296115,82.3,0.013123190000471999
422,2018-11-30 10:00:00,78.68947563286413,77.6,0.01403963444412547
423,2018-11-30 09:00:00,74.7284157928539,74.1,0.00848064497778543
424,2018-11-30 08:00:00,73.542103265505,72.1,0.020001432253883653
425,2018-11-30 07:00:00,77.65541155355513,76.6,0.013778218714818954
426,2018-11-30 06:00:00,85.51571294494053,83.8,0.02047390149093717
427,2018-11-30 05:00:00,80.40360284603007,84.0,0.042814251832975374
428,2018-11-30 04:00:00,83.54502682055663,88.1,0.05170230623658758
429,2018-11-30 03:00:00,81.98299713084616,78.5,0.04436939020186188
