,时间,云岗街道,云岗街道_root,相对偏差
69,2018-12-15 03:00:00,91.57597835487056,75.4,0.21453552194788528
70,2018-12-15 02:00:00,93.2290534095517,77.1,0.20919654227693518
71,2018-12-15 01:00:00,99.20745255993526,82.7,0.199606439660644
72,2018-12-15 00:00:00,102.1869955214278,83.3,0.22673464011317895
74,2018-12-14 22:00:00,102.57507085613476,84.0,0.22113179590636617
75,2018-12-14 21:00:00,99.42095303397156,81.2,0.22439597332477282
76,2018-12-14 20:00:00,96.81628293027595,80.1,0.20869267078996195
77,2018-12-14 19:00:00,106.04088658984418,91.4,0.16018475481229946
78,2018-12-14 18:00:00,115.3848637756334,112.0,0.030221997996726837
79,2018-12-14 17:00:00,115.04275434140412,117.8,0.023406160089948027
80,2018-12-14 16:00:00,113.3086013573963,123.4,0.08177794686064592
81,2018-12-14 15:00:00,91.30971861665819,88.3,0.034085148546525376
82,2018-12-14 14:00:00,78.03936582051118,69.0,0.13100530174653882
83,2018-12-14 13:00:00,60.4652665191504,56.1,0.07781223741801062
84,2018-12-14 12:00:00,39.07384081123577,39.6,0.013286848201116983
92,2018-12-14 04:00:00,40.79409890151961,30.6,0.333140486977765
93,2018-12-14 03:00:00,42.492790305651695,46.0,0.07624368900757184
94,2018-12-14 02:00:00,39.1574326381121,72.5,0.45989748085362625
95,2018-12-14 01:00:00,38.90364972451111,32.8,0.1860868818448511
96,2018-12-14 00:00:00,39.339392831166066,37.3,0.054675411023219
97,2018-12-13 23:00:00,33.81606600495387,34.1,0.008326510118654947
98,2018-12-13 22:00:00,28.250433235938193,31.0,0.08869570206650991
101,2018-12-13 19:00:00,42.02689652772135,39.1,0.07485668868852549
102,2018-12-13 18:00:00,29.27278566508167,33.1,0.11562581072260818
121,2018-12-12 23:00:00,43.28781206917531,37.5,0.15434165517800827
122,2018-12-12 22:00:00,46.974667279842905,43.8,0.0724809881242673
123,2018-12-12 21:00:00,52.280199811029114,46.8,0.11709828656045121
124,2018-12-12 20:00:00,57.25515828802681,52.2,0.09684211279744846
125,2018-12-12 19:00:00,51.90170854609039,51.5,0.007800165943502718
126,2018-12-12 18:00:00,31.94668138021616,40.0,0.20133296549459603
127,2018-12-12 17:00:00,32.76800312761223,37.1,0.11676541435007463
128,2018-12-12 16:00:00,31.59326209833377,36.4,0.1320532390567645
129,2018-12-12 15:00:00,26.027712259340156,30.4,0.14382525462696852
130,2018-12-12 14:00:00,31.15710625553622,31.1,0.0018362140043800305
164,2018-12-11 04:00:00,70.60451058058952,63.7,0.10839106091977262
165,2018-12-11 03:00:00,70.31329626558596,66.7,0.05417235780488693
166,2018-12-11 02:00:00,73.05832593046544,66.2,0.10360008958407009
167,2018-12-11 01:00:00,71.30472458625262,66.8,0.06743599680018894
168,2018-12-11 00:00:00,71.51120228305705,65.8,0.08679638728050225
169,2018-12-10 23:00:00,73.41162937419688,64.6,0.13640293148911586
170,2018-12-10 22:00:00,71.73807567877512,62.6,0.14597564982068875
171,2018-12-10 21:00:00,72.4247032802102,60.3,0.20107302288905804
172,2018-12-10 20:00:00,74.30442454894884,61.9,0.20039458075846278
174,2018-12-10 18:00:00,64.2206925742877,63.0,0.01937607260774121
175,2018-12-10 17:00:00,60.73231957801584,59.2,0.025883776655672923
176,2018-12-10 16:00:00,59.445540850721514,58.4,0.017903096758930058
177,2018-12-10 15:00:00,56.61696651683488,59.8,0.05322798466831302
178,2018-12-10 14:00:00,59.18053304458681,63.2,0.06359916068691761
179,2018-12-10 13:00:00,62.86932993548806,65.0,0.03277953945402983
180,2018-12-10 12:00:00,60.988681650892445,60.9,0.001456184743718339
181,2018-12-10 11:00:00,58.49768269134175,60.5,0.033096153862119816
182,2018-12-10 10:00:00,53.58964567463761,57.1,0.06147730867534838
183,2018-12-10 09:00:00,53.065620701493785,55.0,0.035170532700113
184,2018-12-10 08:00:00,51.061862092587425,53.3,0.04199133034545163
185,2018-12-10 07:00:00,51.12121248869384,50.2,0.0183508463883235
186,2018-12-10 06:00:00,47.0974832723315,51.2,0.08012727983727541
187,2018-12-10 05:00:00,50.48471502781042,50.0,0.009694300556208332
188,2018-12-10 04:00:00,55.95750168173525,54.2,0.03242623029031825
