,时间,南苑乡,南苑乡_root,相对偏差
76,2018-12-14 20:00:00,53.97161617159323,55.0,0.018697887789213944
77,2018-12-14 19:00:00,48.30200495477545,51.0,0.05290186363185396
78,2018-12-14 18:00:00,44.66966041414646,47.3,0.05560971640282313
79,2018-12-14 17:00:00,48.77448751263096,46.6,0.04666282215946268
80,2018-12-14 16:00:00,56.65093300899711,51.6,0.09788629862397491
81,2018-12-14 15:00:00,74.63505401054091,67.9,0.09919078071488815
82,2018-12-14 14:00:00,93.07135177815287,92.8,0.0029240493335439275
83,2018-12-14 13:00:00,82.88205077433483,77.0,0.07639026979655622
84,2018-12-14 12:00:00,60.944732542883266,57.3,0.06360789778155791
85,2018-12-14 11:00:00,44.523557687193765,49.7,0.10415376886934079
86,2018-12-14 10:00:00,44.32141137167918,47.4,0.06494912717976405
87,2018-12-14 09:00:00,45.89595743032696,51.9,0.11568482793204315
88,2018-12-14 08:00:00,42.36641538423005,51.8,0.18211553312297193
89,2018-12-14 07:00:00,44.66893036806384,49.8,0.10303352674570597
90,2018-12-14 06:00:00,42.5384846499755,50.2,0.1526198276897311
91,2018-12-14 05:00:00,41.035457916214945,47.8,0.1415176168155869
92,2018-12-14 04:00:00,46.6177919607575,48.0,0.02879600081755207
93,2018-12-14 03:00:00,40.591697311444335,39.7,0.022460889457036077
94,2018-12-14 02:00:00,36.35661206788963,35.7,0.018392494898869058
95,2018-12-14 01:00:00,30.712747120790134,30.2,0.016978381483117033
118,2018-12-13 02:00:00,27.796747350206374,30.5,0.08863123441946315
119,2018-12-13 01:00:00,48.808668747871884,51.0,0.04296727945349246
120,2018-12-13 00:00:00,67.91910077627485,79.6,0.14674496512217525
121,2018-12-12 23:00:00,91.33822508294901,97.6,0.06415752988781748
122,2018-12-12 22:00:00,112.9530265728144,115.0,0.017799768932048744
123,2018-12-12 21:00:00,108.37174576025244,105.6,0.026247592426632986
124,2018-12-12 20:00:00,81.45112349147348,98.4,0.17224467996470044
125,2018-12-12 19:00:00,80.02616006225193,77.4,0.03392971656656236
126,2018-12-12 18:00:00,47.20844045427096,63.0,0.2506596753290323
127,2018-12-12 17:00:00,45.9840339296767,45.5,0.010638108344542823
128,2018-12-12 16:00:00,44.785309826836404,47.8,0.06306883207455218
129,2018-12-12 15:00:00,44.49076775730407,47.8,0.06923080005640016
130,2018-12-12 14:00:00,30.471202409702116,33.2,0.0821926985029484
137,2018-12-12 07:00:00,33.52771902646346,37.9,0.11536361407748127
138,2018-12-12 06:00:00,33.06585340455127,45.8,0.2780381352718063
139,2018-12-12 05:00:00,34.67614771907289,41.2,0.1583459291487164
140,2018-12-12 04:00:00,34.06022258116561,40.5,0.1590068498477627
141,2018-12-12 03:00:00,31.992487497915647,38.4,0.16686230474178
142,2018-12-12 02:00:00,26.956653744205045,33.1,0.18559958476721922
163,2018-12-11 05:00:00,42.77334627351684,48.8,0.12349700259186792
164,2018-12-11 04:00:00,62.06601621151636,66.8,0.07086802078568315
165,2018-12-11 03:00:00,67.96956696221423,75.2,0.09614937550247038
166,2018-12-11 02:00:00,67.97317681410325,74.7,0.09005118053409301
167,2018-12-11 01:00:00,74.18664825749866,73.8,0.005239136280469694
168,2018-12-11 00:00:00,76.06157003486862,83.7,0.09125961726560788
169,2018-12-10 23:00:00,67.34789996586979,76.7,0.12193090005384898
170,2018-12-10 22:00:00,68.70354978591386,72.4,0.051055942183510235
171,2018-12-10 21:00:00,68.13850504299843,72.1,0.05494445155341973
172,2018-12-10 20:00:00,64.13694379843626,69.9,0.08244715595942406
174,2018-12-10 18:00:00,59.86761415202163,63.3,0.054224105023354924
175,2018-12-10 17:00:00,58.13457736661648,62.8,0.07429016932139354
176,2018-12-10 16:00:00,56.02277111279155,61.6,0.09053942998715014
177,2018-12-10 15:00:00,57.703098789249154,59.5,0.030200020348753718
178,2018-12-10 14:00:00,61.0833008756171,65.6,0.06885212079851977
179,2018-12-10 13:00:00,60.9689269916418,62.5,0.02449716813373118
180,2018-12-10 12:00:00,57.618507244925695,58.9,0.02175709261586254
181,2018-12-10 11:00:00,55.87872084532375,60.2,0.07178204575874177
182,2018-12-10 10:00:00,49.78009408885578,59.5,0.16335976321250784
183,2018-12-10 09:00:00,49.58746983158555,57.6,0.1391064265349731
184,2018-12-10 08:00:00,54.55695223052039,55.4,0.015217468763169874
185,2018-12-10 07:00:00,58.8455604131111,56.8,0.036013387554772965
186,2018-12-10 06:00:00,67.32884454483816,56.7,0.18745757574670474
187,2018-12-10 05:00:00,65.24410843574246,60.7,0.07486175347186917
188,2018-12-10 04:00:00,76.79569568496697,79.7,0.036440455646587586
189,2018-12-10 03:00:00,74.57938932586308,86.4,0.1368126235432515
190,2018-12-10 02:00:00,71.36997363602676,80.8,0.11670824707887674
191,2018-12-10 01:00:00,69.89711412731148,83.6,0.1639101180943602
192,2018-12-10 00:00:00,81.64179004940232,99.8,0.1819459914889547
193,2018-12-09 23:00:00,98.4715958904892,108.7,0.09409755390534319
194,2018-12-09 22:00:00,101.36842327872694,114.4,0.11391238392721213
195,2018-12-09 21:00:00,103.32520683845316,113.5,0.08964575472728498
196,2018-12-09 20:00:00,101.73763235981322,111.6,0.08837246989414674
197,2018-12-09 19:00:00,99.15690085764757,112.7,0.12016946887624162
198,2018-12-09 18:00:00,86.15009920239827,98.7,0.12715198376496187
199,2018-12-09 17:00:00,77.54155474127533,77.7,0.0020391925189790056
200,2018-12-09 16:00:00,80.15896492720864,79.4,0.009558752231846821
201,2018-12-09 15:00:00,66.8241952834035,70.1,0.04673045244788156
202,2018-12-09 14:00:00,46.793330350786036,53.7,0.12861582214551148
203,2018-12-09 13:00:00,34.00937103383191,38.5,0.11663971340696334
204,2018-12-09 12:00:00,40.07436541807593,30.0,0.33581218060253093
205,2018-12-09 11:00:00,33.88846614461586,34.7,0.023387142806459395
206,2018-12-09 10:00:00,12.369150647192953,55.0,0.7751063518692191
207,2018-12-09 09:00:00,23.067006273155037,78.3,0.7054022187336522
208,2018-12-09 08:00:00,18.07043927650259,71.0,0.7454867707534847
209,2018-12-09 07:00:00,17.228546328145928,71.4,0.7587038329391327
210,2018-12-09 06:00:00,17.96863066659561,72.7,0.7528386428253698
212,2018-12-09 04:00:00,14.656382247130272,67.6,0.783189611728842
213,2018-12-09 03:00:00,14.947573351325337,66.9,0.7765684102940906
214,2018-12-09 02:00:00,13.720200421935141,63.8,0.7849498366467846
215,2018-12-09 01:00:00,12.653277417741176,59.7,0.7880523045604493
217,2018-12-08 23:00:00,42.27215194000031,48.6,0.13020263497941745
218,2018-12-08 22:00:00,10.725832729603875,46.3,0.7683405457968926
219,2018-12-08 21:00:00,9.900066262458733,40.2,0.7537296949637131
220,2018-12-08 20:00:00,9.01183548725966,32.8,0.7252489180713518
287,2018-12-06 01:00:00,48.10265964585664,41.8,0.15078133124058957
288,2018-12-06 00:00:00,53.467368089586344,47.1,0.13518828215682255
289,2018-12-05 23:00:00,56.170559269555824,48.1,0.16778709500116054
290,2018-12-05 22:00:00,61.42661611911166,55.4,0.10878368446049924
291,2018-12-05 21:00:00,66.74775273720994,54.9,0.21580606078706627
292,2018-12-05 20:00:00,63.94140373301158,55.0,0.16257097696384698
293,2018-12-05 19:00:00,63.58067653449234,53.0,0.19963540631117624
294,2018-12-05 18:00:00,58.327758235253775,49.8,0.17124012520589915
295,2018-12-05 17:00:00,56.41716051568779,47.3,0.19275180794265948
296,2018-12-05 16:00:00,57.09097726194134,43.9,0.30047784195766153
297,2018-12-05 15:00:00,53.81176157413248,43.2,0.2456426290308444
298,2018-12-05 14:00:00,54.58304823775556,44.6,0.22383516228151482
299,2018-12-05 13:00:00,60.2076849007929,52.3,0.15119856406869794
300,2018-12-05 12:00:00,58.151299329466525,53.7,0.08289198006455348
301,2018-12-05 11:00:00,57.65851883990947,53.4,0.07974754381852941
302,2018-12-05 10:00:00,56.46757185850492,52.5,0.07557279730485558
304,2018-12-05 08:00:00,50.15835272448452,46.8,0.0717596736000967
305,2018-12-05 07:00:00,44.09955486410821,42.0,0.049989401526385875
