,时间,小屯公园,小屯公园_root,相对偏差
140,2018-12-12 04:00:00,34.81042451077234,63.2,0.44920214381689333
141,2018-12-12 03:00:00,35.779736497562304,52.2,0.31456443491259956
163,2018-12-11 05:00:00,49.270315862193776,51.5,0.04329483762730532
164,2018-12-11 04:00:00,66.01231291898081,70.8,0.06762269888445178
165,2018-12-11 03:00:00,73.85200677364618,72.4,0.02005534217743336
166,2018-12-11 02:00:00,82.3780282626478,79.8,0.03230611857954643
167,2018-12-11 01:00:00,80.16138683847365,86.7,0.07541653012141127
168,2018-12-11 00:00:00,92.09233770753077,92.9,0.008693889047031556
169,2018-12-10 23:00:00,92.66589677771609,93.8,0.012090652689593943
170,2018-12-10 22:00:00,93.07116419561184,104.5,0.10936684980275749
171,2018-12-10 21:00:00,96.98570191158429,101.4,0.04353351172007613
172,2018-12-10 20:00:00,105.88396513680551,72.9,0.4524549401482237
174,2018-12-10 18:00:00,104.86423079073957,54.8,0.9135808538456127
175,2018-12-10 17:00:00,77.23778676452496,58.3,0.3248333921873921
176,2018-12-10 16:00:00,61.973392850725105,52.5,0.18044557810904963
177,2018-12-10 15:00:00,61.25072225662807,47.0,0.30320685652400153
178,2018-12-10 14:00:00,63.18286615737358,51.2,0.2340403546362027
179,2018-12-10 13:00:00,64.54051659754124,52.3,0.2340442944080544
180,2018-12-10 12:00:00,63.41516668361575,54.2,0.17002152552796584
181,2018-12-10 11:00:00,57.47481089672694,49.7,0.1564348268959143
182,2018-12-10 10:00:00,62.157129885987196,63.2,0.016501109398936818
183,2018-12-10 09:00:00,73.35754427240163,74.1,0.010019645446671643
184,2018-12-10 08:00:00,70.08797894567937,70.0,0.0012568420811338195
185,2018-12-10 07:00:00,64.21915303008193,71.0,0.09550488690025455
186,2018-12-10 06:00:00,57.2099229791221,63.1,0.09334511918982415
187,2018-12-10 05:00:00,60.299819157690926,70.3,0.1422500831053922
188,2018-12-10 04:00:00,61.74115221271296,69.9,0.11672171369509361
189,2018-12-10 03:00:00,59.7837061959485,61.0,0.0199392426893689
190,2018-12-10 02:00:00,52.069209254121695,66.1,0.21226612323567776
191,2018-12-10 01:00:00,82.00662245173397,79.7,0.028941310561279448
192,2018-12-10 00:00:00,94.6826875093255,92.6,0.022491225802651293
193,2018-12-09 23:00:00,98.46963309577917,104.3,0.05589997031851222
194,2018-12-09 22:00:00,120.18544502708978,104.6,0.14900043046930966
195,2018-12-09 21:00:00,145.7554208909106,107.2,0.35965877696744974
196,2018-12-09 20:00:00,142.29739509887048,95.8,0.4853590302596084
197,2018-12-09 19:00:00,136.78247528085006,75.8,0.8045181435468347
198,2018-12-09 18:00:00,99.0046849520178,60.8,0.6283665288160822
199,2018-12-09 17:00:00,80.53939545075404,64.5,0.2486727976861092
200,2018-12-09 16:00:00,100.89368542238552,62.2,0.622084974636423
201,2018-12-09 15:00:00,65.97548725081403,40.8,0.6170462561474027
204,2018-12-09 12:00:00,33.57783681371536,30.6,0.09731492855278942
205,2018-12-09 11:00:00,34.11276805062281,31.8,0.07272855505103179
206,2018-12-09 10:00:00,10.507622888753339,43.3,0.7573297254329483
207,2018-12-09 09:00:00,7.620156190956443,45.4,0.8321551499789329
208,2018-12-09 08:00:00,8.238242325285151,38.4,0.7854624394456993
209,2018-12-09 07:00:00,8.798912494567812,41.4,0.7874658817737245
210,2018-12-09 06:00:00,9.19068462841275,45.8,0.7993300299473197
211,2018-12-09 05:00:00,9.736489876485692,53.6,0.8183490694685506
212,2018-12-09 04:00:00,11.787787790668574,65.6,0.8203081129471254
213,2018-12-09 03:00:00,13.265110492243913,60.1,0.779282687317073
214,2018-12-09 02:00:00,13.545552933640517,60.6,0.7764760241973513
215,2018-12-09 01:00:00,12.669414951749934,48.9,0.7409117596779154
217,2018-12-08 23:00:00,46.369223961743444,42.8,0.08339308321830484
218,2018-12-08 22:00:00,10.456127270827528,41.3,0.7468250055489702
219,2018-12-08 21:00:00,9.24456534441066,34.1,0.7288983769967549
220,2018-12-08 20:00:00,8.849931505120411,31.7,0.7208223499962014
286,2018-12-06 02:00:00,29.13793723232959,35.5,0.1792130357090256
287,2018-12-06 01:00:00,75.86885125984445,56.0,0.35480091535436514
288,2018-12-06 00:00:00,78.58870868247884,61.1,0.2862309113335325
289,2018-12-05 23:00:00,76.20994506719717,59.1,0.28950837677152563
290,2018-12-05 22:00:00,66.05886295648904,53.8,0.22785990625444313
291,2018-12-05 21:00:00,78.64919148325446,63.6,0.23662250759834047
292,2018-12-05 20:00:00,70.08968416217779,66.5,0.053980212965079544
293,2018-12-05 19:00:00,71.74546272707119,64.4,0.11405998023402451
294,2018-12-05 18:00:00,67.81138723170618,60.3,0.12456695243293832
295,2018-12-05 17:00:00,69.26846951781614,55.5,0.2480805318525431
296,2018-12-05 16:00:00,66.16237937504246,50.6,0.30755690464510793
297,2018-12-05 15:00:00,55.2926285142928,41.2,0.3420540901527378
298,2018-12-05 14:00:00,50.25668986874399,41.9,0.19944367228505946
