,时间,花乡,花乡_root,相对偏差
142,2018-12-12 02:00:00,33.84681762991973,53.2,0.3637816234977495
143,2018-12-12 01:00:00,44.83120878970948,50.1,0.10516549321937171
163,2018-12-11 05:00:00,50.479927890981074,54.0,0.06518652053738752
164,2018-12-11 04:00:00,71.91776322584522,68.4,0.051429286927561615
165,2018-12-11 03:00:00,74.89502443556763,69.3,0.08073628334152436
166,2018-12-11 02:00:00,77.30779103979819,70.3,0.09968408306967558
167,2018-12-11 01:00:00,91.71772376349645,77.4,0.1849835111562848
168,2018-12-11 00:00:00,101.47598059440902,78.1,0.2993083302741233
169,2018-12-10 23:00:00,97.70623672266575,74.2,0.31679564316261116
170,2018-12-10 22:00:00,97.86190264507994,74.1,0.3206734500010789
171,2018-12-10 21:00:00,85.91360173100985,68.7,0.25056188836986676
172,2018-12-10 20:00:00,76.4068388119302,66.9,0.1421052139301972
174,2018-12-10 18:00:00,70.49923052291268,64.5,0.09301132593663074
175,2018-12-10 17:00:00,68.0515638175442,61.9,0.099379060057257
176,2018-12-10 16:00:00,64.76837075227263,63.9,0.013589526639634308
177,2018-12-10 15:00:00,66.73474666786014,65.2,0.023539059323008184
178,2018-12-10 14:00:00,68.26353976297588,65.2,0.04698680618061163
179,2018-12-10 13:00:00,66.26714918071765,67.6,0.019716728095892637
180,2018-12-10 12:00:00,68.27226747926512,64.1,0.06508997627558706
181,2018-12-10 11:00:00,57.86762608036549,61.9,0.06514335896016978
182,2018-12-10 10:00:00,61.9243390365376,64.0,0.032432202554099954
183,2018-12-10 09:00:00,72.20435690720868,64.8,0.1142647670865537
184,2018-12-10 08:00:00,74.04110793172525,66.8,0.10839981933720438
185,2018-12-10 07:00:00,74.5122224273087,67.2,0.10881283373971275
186,2018-12-10 06:00:00,71.42865665339377,63.9,0.11781935294825939
187,2018-12-10 05:00:00,73.19030669690923,63.5,0.15260325506943673
188,2018-12-10 04:00:00,74.04599630955826,65.6,0.1287499437432663
189,2018-12-10 03:00:00,74.68544035268958,69.9,0.06846123537467205
190,2018-12-10 02:00:00,82.05735569579457,73.8,0.11188828856090208
191,2018-12-10 01:00:00,103.52004902067942,92.6,0.11792709525571737
192,2018-12-10 00:00:00,97.31333036378375,110.6,0.12013263685548144
193,2018-12-09 23:00:00,95.17754557457503,128.2,0.2575854479362321
194,2018-12-09 22:00:00,129.5161055994854,126.2,0.026276589536334362
195,2018-12-09 21:00:00,107.40166927492484,111.4,0.03589165821431924
196,2018-12-09 20:00:00,105.91529009905125,104.2,0.016461517265367032
197,2018-12-09 19:00:00,107.63291033398988,103.3,0.04194492094859523
198,2018-12-09 18:00:00,97.76836212231144,92.3,0.05924552678560615
199,2018-12-09 17:00:00,88.97861794348003,74.9,0.18796552661522062
200,2018-12-09 16:00:00,84.93373172517798,77.3,0.09875461481472161
201,2018-12-09 15:00:00,85.5390419386182,79.8,0.07191781877967669
202,2018-12-09 14:00:00,82.65913790131607,60.6,0.36401217658937407
203,2018-12-09 13:00:00,65.800270853037,52.3,0.25813137386304036
